Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Eu dou o inquérito da PF de 2018 para quem quiser. Para quem quiser. Apesar de o STF falar que ele é confidencial, não é confidencial.",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Supremo Tribunal Federal', 'Departamento de Polícia Federal', 'Inquérito policial', '2018', 'Polícia Federal']"
O Tarcísio tem um orçamento de aproximadamente R$ 7 bilhões por ano.,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,não_é_bem_assim,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Orçamento', 'Tarcísio de Freitas', 'R7']"
Quem tornou vaga a cadeira do João Goulart foi o Congresso Nacional,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,não_é_bem_assim,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Congresso Nacional', 'Cadeira', 'João Goulart']"
Eu tinha uma cópia do Diário do Congresso. Tá comigo até hoje. O resto foi incinerado ou pintado de negrito,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Congresso Nacional', 'Incineração', 'Ênfase', 'Cópia']"
"Agora, levando-se em conta o mundo todo, o Brasil é um país que menos sofreu com a pandemia.",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,não_é_bem_assim,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Pandemia de COVID-19', 'Mundo', 'Brasil']"
"[Eu tinha] um partido pequeno, sete segundos de televisão, sem fundo partidário",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Fundo Partidário', 'Partido político', 'Televisão']"
"Você pode ver, no campo: nós aprovamos a posse estendida.",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,verdadeiro,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,['Podemos']
A [Simone] Tebet falou de voto impresso no passado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,verdadeiro,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Votação', 'Simone Tebet', 'Comprovante de votação verificado pelo eleitor']"
Passamos de déficit para superávit [nas empresas estatais].,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Défice', 'Superávite', 'Empresa estatal']"
"A apuração tem que ser pública. Se é numa sala-cofre [a apuração das eleições], não é pública",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Eleição', 'Cofre no quarto']"
Tiraram de mim o poder de conduzir essas medidas [de isolamento] na pandemia,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Direção', 'Pandemia de COVID-19', 'Poder']"
Fui o primeiro presidente a pegar a lei de teto [de gastos],Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtUe_1zXwnmnh3VCsZjw4a9LuB6djilHGM2d5UAARVFnrCy_Na,"['Presidente', 'Lei', 'Emenda Constitucional do Teto dos Gastos Públicos']"
?Quem se contaminou está melhor imunizado do que quem tomou a vacina?,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/08/09/bolsonaro-repete-mentiras-sobre-vacinas-e-eleicoes-ao-flow-podcast.htm,Falso,2022-08-09 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7PE8fQc57z0fJ_Gs8_mo82_VPckB5K601-wt1F3qgQVvRsH2W,"['Vacina', 'A vacina', 'Imunização']"
[O Brasil foi o último] a dar voto para mulher.,Aos Fatos,https://www.aosfatos.org/noticias/lula-flow-podcast-checamos/,falso,2022-10-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS_XvxnA47R1OJcJchDpmoHNk5diUoMcoenb3ed6ScuZ2icVRWs,"['Votação', 'Brasil', 'Mulher']"
