Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Flávio e Eduardo Bolsonaro pedem doações para custear processo do pai,Aos Fatos,https://www.aosfatos.org/noticias/golpistas-manipulam-videos-familia-bolsonaro-ia-campanha-arrecadacao-falsa/,falso,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR66WuIHaupbCU5_9EiM3Hglkrh3egiBfV3KEtQoh5yqzZ2pVbY,"['Flávio Bolsonaro', 'Eduardo Bolsonaro', 'Doação', 'Pai']"
Personalidades fazem campanha em apoio a Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.79P33CR,Falso,2025-10-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRpZ8MPw5WoIP3nLREFdLxbKxa0o3xM97Y-arAMu6h5I6e_-K7L,"['Jair Bolsonaro', 'Personalidade']"
"""Careca do INSS"" doou R$ 1 milhão para Jair Bolsonaro nas eleições de 2022",Estadão,https://www.estadao.com.br/estadao-verifica/site-do-tse-mostra-que-careca-do-inss-doou-r-1-a-campanha-de-bolsonaro-em-2022-e-nao-r-1-milhao/,Falso,2025-09-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTxlvddIRxnD3uroVGdwEu_8j8syVgzTPg51rdI3c2sDk0ov7Uo,"['Careca do INSS', 'Jair Bolsonaro', '2022', 'Eleição', 'Eleições presidenciais brasileiras, 2022']"
Reportagem de Cabrini revelou que fraude do INSS financiou campanha de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/reportagem-da-record-nao-revelou-que-fraude-do-inss-financiou-campanha-de-bolsonaro/,falso,2025-05-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ6DznjXxmP7EhlZXRML0VTNOgU_S4fuMKAtovnpyrT8p1YVI-S,"['Jair Bolsonaro', 'Instituto Nacional do Seguro Social', 'INSS', 'Reportagem', 'Esquema de fraudes no INSS', 'Fraude', 'Campanha presidencial de Jair Bolsonaro em 2022', 'Roberto Cabrini']"
"Aquelas 1.500 pessoas, pobres, coitadas, que até foi levantada por um dos que me antecederam agora há pouco aqui. Cem ônibus chegaram na região do setor ambiental urbano, na madrugada de domingo. E o pessoal foi embora logo depois da baderna e sobrou para quem estava acampado aqui. Quem realmente fez foi embora.",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Pobreza', 'Ônibus', 'Meio ambiente']"
"Quando nós peticionamos o TSE sobre possíveis vulnerabilidades, no dia seguinte não foi acolhido, não se discute nada mais além disso, e nos surpreendeu uma multa de R$ 22 milhões. Essa multa nos abalou e, no nosso entendimento, se a gente viesse a recorrer da multa ou da petição a multa poderia ser agravada e outras coisas poderiam acontecer",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Tribunal Superior Eleitoral', 'Abaixo-assinado', '2022', 'Multa', 'Compreensão']"
"Na semana seguinte ao segundo turno de 2018, foi instalado o inquérito 1361 para apurar inconsistências, fragilidade do sistema eleitoral.",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Eleição', 'Inquérito policial', '2018', 'Sistema eleitoral do Brasil', '1361', 'Semana']"
"Eu ouvi a declaração do ministro José Múcio, da Defesa, no Roda Viva, há poucos meses, ele falando que o 8 de Janeiro não foi golpe. Também o ex-ministro Aldo Rebelo, a mesma coisa. Também o ex-ministro da Defesa, Nelson Jobim, a mesma coisa — que foi presidente do TSE, inclusive. Outras [pessoas]... José Sarney… todo mundo falando isso, respeitosamente.",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,não_é_bem_assim,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Presidente', 'Tribunal Superior Eleitoral', 'Ataques de 8 de janeiro em Brasília', 'José Sarney', 'José Múcio', 'Nelson Jobim', 'Aldo Rebelo', 'Ministro', 'Ministério da Defesa']"
"O outro lado podia tudo, até acusar de genocida",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Genocídio', 'Oferecimento de denúncia']"
"Daí eu convidei os embaixadores para mostrar o inquérito 1361, e com todo respeito, mesmo que seja um outro... Um outro foco, um inquérito, após a minha conversa com os embaixadores, no dia seguinte, ser classificado como confidencial, a gente fica um pouco surpreso com isso",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['1361', 'Inquérito policial', 'Embaixador']"
Jair Bolsonaro aparece em vídeo da campanha presidencial de Trump para 2024,Aos Fatos,https://www.aosfatos.org/noticias/falso-video-bolsonaro-propaganda-trump/,falso,2024-03-06 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTQPCLRagT6bhZQZC5fokGMdL8In5EYOxQb8Gjt4-MQ9isUZO6s,"['Jair Bolsonaro', 'Donald Trump', 'Presidente', 'Vídeo', '2024']"
"""Neymar Jr. doou 1,5 milhões de euros a Jair Bolsonaro""",Observador,https://observador.pt/factchecks/fact-check-neymar-jr-doou-um-milhao-e-meio-de-euros-a-jair-bolsonaro/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Neymar', 'Jair Bolsonaro', 'Euro']"
Mais uma obra entregue. Trem que liga o Pará ao Maranhão. Se você não compartilhar a imprensa também não. Bolsonaro 2022!!,AFP Checamos,https://checamos.afp.com/doc.afp.com.32898J8,Falso,2022-04-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTtW4jHNBWQr89wkSocVdTHUlfPGS_AahiIhfRw99X8zHmfgQtT,"['Jair Bolsonaro', 'Trem', 'Maranhão', 'Imprensa', 'Campanha presidencial de Jair Bolsonaro em 2022', '2022']"
"Mulheres jovens, de jaleco, e se dizendo entrevistadoras de um instituto de pesquisas, entregam material de campanha de Bolsonaro aos que respondem que irão votar em Lula.",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/grupo-se-passava-por-pesquisadores-para-pedir-votos-para-bolsonaro-em-alagoas-como-mostra-video/,Comprovado,2022-10-20 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS3umfT7BcaUgkrBZTAlQaBof5q3X6WplemXf-DuTOf9ZhZnrAV,"['Votação', 'Jair Bolsonaro', 'Pesquisa', 'Luiz Inácio Lula da Silva', 'Campanha presidencial de Jair Bolsonaro em 2022', 'Instituto de Pesquisa Científica', 'Instituto', 'Mulher', 'Entrevistador']"
"""Agressor de Jair Bolsonaro foi entrevistado pela Globo e entrevista será emitida durante a campanha presidencial de 2022"".",Observador,https://observador.pt/factchecks/fact-check-televisao-brasileira-teve-de-pedir-autorizacao-para-entrevistar-homem-que-esfaqueou-bolsonaro/,Errado,2022-10-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Jair Bolsonaro', 'Entrevista', 'Presidente', '2022', 'Campanha presidencial de Jair Bolsonaro em 2022']"
