Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Eleitor deve aguardar a mensagem “confirma seu voto” na urna eletrônica antes de finalizar a votação,Aos Fatos,https://www.aosfatos.org/noticias/falso-urnas-eletronicas-mensagem-confirma-o-seu-voto/,falso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSXlYH7fUnWollcEcX8PBhe-nKuW1uLbetwVPWZ-k40pRrA_8RR,"['Votação', 'Urna eleitoral', 'Máquina de votação', 'Eleitor', 'Mensagem', 'Eletrônica']"
"Eleitor perderá voto caso aperte a tecla “confirma” da urna eletrônica enquanto o equipamento exibir o aviso ""Confira seu voto""",Estadão,https://www.estadao.com.br/estadao-verifica/confira-seu-voto-confirma-anula-falso/,Falso,2024-10-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRiJwYFW_9JgDjycfII_hPAW4BWDVF7LHjVtfI6ksjDhh9dIw59,"['Votação', 'Eleitor', 'Urna eleitoral', 'Máquina de votação', 'Eletrônica']"
"Pressionar a tecla verde ""confirma"" antes de a mensagem ""confira o seu voto"" desaparecer da urna eletrônica vai anular o seu voto",Aos Fatos,https://www.aosfatos.org/noticias/voto-nao-e-anulado-se-eleitor-apertar-confirma-durante-alerta-para-conferir-escolhas/,falso,2024-10-01 07:00:00,,"['Votação', 'Urna eleitoral', 'Máquina de votação', 'Eletrônica', 'Mensagem']"
Eleitor pode perder o voto ao apertar a tecla confirma,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/eleitor-nao-perde-voto-ao-apertar-confirma-durante-aviso-para-conferir-escolha-na-urna-eletronica/,Falso: O aviso de “Confira seu voto” foi implementado nas últimas eleições gerais para permitir que o eleitor revise o voto antes da confirmação.,2024-09-09 07:00:00,,"['Votação', 'Eleitor']"
Voto é perdido ao apertar a tecla ‘Confirma’ durante mensagem “Confira o seu voto”,Aos Fatos,https://www.aosfatos.org/noticias/voto-nao-e-perdido-ao-apertar-confirma-na-urna-durante-alerta-para-conferir-o-voto/,falso,2022-09-28 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0JxOHHQSU_lsf-lNvWBjRNyOaMzVnNNmT5flL2JwVUQqkNWJV,['Votação']
Voto não é auditável,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/09/o-que-acontece-com-o-voto-depois-de-apertar-confirma.htm,Falso,2022-09-09 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ8W8U4BcRysOHeBtiUgDG9jIFxkfj1UpsW9Ag8CxbBMAl-U8tj,['Votação']
Sanções dos EUA a Alexandre de Moraes podem paralisar trabalho do STF,Estadão,https://www.estadao.com.br/estadao-verifica/email-stf-bloqueado-sancao-estados-unidos-enganoso/,Falso,2025-06-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQnLYaVJXtH0_S02srMw58Yt0gI6cBkcgTQ3fxykadDOSxl7CfL,"['Sanção jurídica', 'Supremo Tribunal Federal', 'Alexandre de Moraes', 'Estados Unidos', 'Trabalho']"
Este vídeo prova que nova funcionalidade das urnas pode anular voto de eleitores,AFP Checamos,https://checamos.afp.com/doc.afp.com.32KC2CF,Falso,2022-09-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQvh2RdDq7-gLmBrKH8LrcOFwGYhgB53pIpvC8W1k-YmOV6lizk,"['Votação', 'Urna eleitoral', 'Eleição', 'Vídeo']"
"O regime admitiu que foi um míssil da IRGC que matou 148 alunas… O regime no Irão agora confirmou oficialmente que a Guarda Revolucionária (IRGC) bombardeou por engano uma escola iraniana, matando muitas crianças",Observador,https://observador.pt/factchecks/fact-check-irao-confirma-ter-bombardeado-por-engano-uma-escola-em-minab-onde-morreram-centenas-de-alunas/,Errado,,,"['Irã', 'Escola', 'Aluno', 'Corpo de Guardas da Revolução Islâmica', 'Criança']"
Anvisa confirma mortes em decorrência de vacinas contra a Covid-19,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-anvisa-confirma-mortes-em-decorrencia-de-vacinas-contra-covid-19/,distorcido,2021-03-03 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSn6-VwUkMu7JO6M1ru2xxqigcx9HooNY-hcA_8TCsug-ji-37O,"['Vacina contra COVID-19', 'Agência Nacional de Vigilância Sanitária', 'COVID-19', 'Vacina', 'Anvisa', 'Morte']"
Hacker confirma que urnas eletrônicas podem sim ter sido adulteradas pelo TSE,Aos Fatos,https://www.aosfatos.org/noticias/delgatti-cpmi-nao-confirma-urnas-eletronicas-adulteradas/,falso,2023-08-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR_p1uJlKaTiReDXK094xu8fGrIwuWY1DnU-nkH_xkIInrCEyaC,"['Urna eletrônica', 'Tribunal Superior Eleitoral', 'Hacker']"
IMPORTANTE AO VOTAR PRESTAR ATENÇÃO AO DIGITAR VAI APARECER ESCRITO CONFIRA CONFIRA SEU VOTO.. SE AO APARECER CONFIRA CONFIRA E APERTAR ENTER OU OK PERDERÁ SEU VOTO.,Boatos.org,https://www.boatos.org/politica/apertar-confirma-durante-tela-confira-seu-voto-urna-eletronica-anula-voto.html,Falso,2022-10-02 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRsQcOSDKN_NO0QpuXVy95LK9sdtDQhRIFmAtcO04rJX-u83Kpy,['Votação']
"“Só nas licenças ambientais online, reduzimos de 900 dias para menos de 90 dias”.",Agência Pública,https://eleicoes.apublica.org/2018/2018/08/fepam-confirma-prazo-para-licenca-ambiental-informado-por-sartori-em-debate/,Verdadeiro,2018-08-23 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTInqn4cTpTgjraQZx_6OV7TCaV3DToqd4QNZvmIyMAlHDtg9bF,"['Licenciamento ambiental no Brasil', 'Meio ambiente']"
"""Óxido de grafeno é tóxico e mortal para o ser humano. A FDA confirma que o óxido de grafeno está nas vacinas COVID-19 ""mRNA"" depois de ser forçado a liberar documentos confidenciais da Pfizer por ordem do Tribunal Federal dos EUA.""",Observador,https://observador.pt/factchecks/fact-check-autoridade-do-medicamento-dos-eua-confirma-a-existencia-de-grafeno-nas-vacinas-contra-a-covid-19/,Errado,2023-04-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['COVID-19', 'Vacina', 'Vacina contra COVID-19', 'Food and Drug Administration', 'Pfizer', 'Vacina de RNA']"
Bolsonaro confirma possível câncer e desabafo comove: ‘Não sou mais dono de mim,Boatos.org,https://www.boatos.org/politica/bolsonaro-confirma-possivel-cancer-pele-desabafo.html,Falso,2020-05-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQeZpaigOpOADvVah7FNWm90wr3ytAY0gCkrQPqwvwvGAs5HRqR,"['Jair Bolsonaro', 'Câncer']"
Lula confirma criação da guarda nacional o maior exército vermelho da América Latina Tropa terá grupamento especial de choque para confrontos urbanos afim de coibir atos antidemocráticos,Boatos.org,https://www.boatos.org/politica/lula-confirma-criacao-de-guarda-nacional-maior-exercito-vermelho-da-america-latina.html,Falso,2022-11-29 08:00:00,,"['Luiz Inácio Lula da Silva', 'América Latina', 'América', 'Pará']"
Vaticano confirma Papa Francisco e dois assistentes dão positivo para Coronavírus O Vaticano confirmou em comunicado que o Papa Francisco e dois de seus assessores deram positivo para o novo Coronavírus.,Boatos.org,https://www.boatos.org/religiao/vaticano-confirma-papa-francisco-coronavirus.html,Falso,2020-03-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRsQcOSDKN_NO0QpuXVy95LK9sdtDQhRIFmAtcO04rJX-u83Kpy,"['Papa Francisco', 'Papa', 'Vaticano', 'Coronavírus', 'Coronavírus da síndrome respiratória aguda grave 2']"
VITORIA DE TRUMP JUIZ ACABA DE BLOQUEIA RESULTADOS DA PENSILVÂNIA,Boatos.org,https://www.boatos.org/mundo/pensilvania-confirma-fraude-cancela-votos-trump-vence-eleicoes.html,Falso,2020-12-01 08:00:00,,"['Pensilvânia', 'Donald Trump', 'Juiz']"
"O Presidente da Holanda confirma que teve fraude na Eleiçao Presidencial no Brasil. O presidente da Holanda, Mark Rutte, não concorda com a vitória de Luiz Inácio Lula da Silva devido às inúmeras provas das fraudes alarmantes que ocorreram nas urnas eletrônicas",Boatos.org,https://www.boatos.org/mundo/presidente-holanda-mark-rutte-confirma-que-houve-fraude-eleicoes-brasil.html,Falso,2022-11-15 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSbtuyXk5YjnAJkFM283qp9PQehbvLymOMVNX1Ayjt_B4yVz3Hj,"['Mark Rutte', 'Eleição', 'Presidente', 'Brasil', 'Luiz Inácio Lula da Silva', 'Países Baixos', 'Eleições presidenciais']"
Policia Francesa encontra equipe responsavel em sumir com cedulas que elegeriam Mariane Le Pen. CONFIRMADA FRAUDE para eleger MACRON,Boatos.org,https://www.boatos.org/mundo/policia-da-franca-encontra-votos-perdidos-le-pen-confirma-fraude-macron.html,Falso,2022-05-09 07:00:00,,"['Marine Le Pen', 'Emmanuel Macron', 'Fraude', 'França', 'Polícia']"
