Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"""Superior Tribunal Militar diz que Bolsonaro não pode cumprir pena na Papuda. Integrantes da Corte alegam falta de segurança e prerrogativas de ex-presidente. A decisão amplia o impasse entre o STF e os militares e reacende o debate sobre perseguição política""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/18/falso-stm-contra-prisao-bolsonaro-papuda.htm,Falso,2025-11-18 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRSTrubPeOLYJpvcMUWo195h9qSNtVOLSxywekN9SiQGeUFsRaQ,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Complexo Penitenciário da Papuda', 'Presidente', 'Supremo Tribunal Federal', 'Tribunal', 'Sanção penal', 'Forças armadas', 'Político', 'Debate']"
"A pedido do lobby muçulmano, Keir Starmer legalizou no Reino Unido os casamentos entre irmãos e irmãs, pais e filhas, filhos e mães.
Isto é inacreditável. Em 2025, estão a debater isso no Parlamento. A civilização ocidental está a entrar em colapso diante dos nossos olhos.",Observador,https://observador.pt/factchecks/fact-check-keir-starmer-legalizou-casamento-entre-irmaos-e-entre-pais-e-filhos/,Errado,2025-10-24 07:00:00,,"['Keir Starmer', 'Casamento', 'Reino Unido', 'Irmão', 'Filho', 'Debate', 'Parlamento', 'Mundo ocidental']"
Apanhada. Os mesmos brincos que ela usou no debate. Partilhem isto e exponham esta fraude. Eu sabia,Observador,https://observador.pt/factchecks/fact-check-novas-imagens-provam-que-kamala-harris-usou-auricular-durante-o-debate-com-trump/,Errado,2024-10-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Debate', 'Brinco', 'Fraude']"
"Aí eu fiz isso, eu fui lá hoje de manhã, porque o Ricardo Nunes, quando eu falei no debate que eu ia fazer a ponte [no Gaivotas], ele falou: ‘Eu já estou fazendo’. Aí eu fui lá, não tem nada, não tem uma estaca, não tem nada.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-boulos-inteligencia-ltda-segundo-turno/,falso,2024-10-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTA2OjEUcOxCp32oTMEdVs5xsTIRZ0mqAPfTaIEqa9U39a5sKf_,"['Ricardo Nunes', 'Debate', 'Inteligência artificial', 'Manhã']"
Afiliada da Rede Globo no RS não convidou candidato para debate sobre Porto Alegre,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/10/04/entenda-as-regras-dos-convites-para-debates-eleitorais-na-televisao.htm,Enganoso,2024-10-04 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSk4-eUJ_GVhgzT41pavn9Dm60qw1VTcVztomoZocaUxPfCHy5c,"['Debate', 'Candidato', 'Grupo Globo', 'TV Globo', 'Porto Alegre', 'Rio Grande do Sul']"
Ricardo Nunes (MDB) se irritou com Pablo Marçal (PRTB) porque o ex-coach usou tempo do debate para ficar repetindo o próprio número de urna,Aos Fatos,https://www.aosfatos.org/noticias/corte-enganoso-reacao-nunes-marcal-debate/,falso,2024-10-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTfUjSbqsjSTXiq3GsO0GnUTsR4_YNM8Xy4wEYIS8yuxQ51Hll6,"['Ricardo Nunes', 'Pablo Marçal', 'Debate', 'PMDB', 'Tempo', 'Partido Renovador Trabalhista Brasileiro', 'Movimento Democrático Brasileiro', 'Número', 'Urna eleitoral']"
MARÇAL FOI EXPULSO DO DEBATE. PORQUE DATENA NÃO TEVE O MESMO TRATAMENTO?,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/09/27/datena-expulso-debate-marcal.htm,Falso,2024-09-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR1yVqlL_K_m_FxqORmUpMV1YqPU7NhxoKxFdcE2s2w-g-k5tCE,"['Datena', 'Pablo Marçal', 'Debate']"
"O debate todo [do Grupo Flow], a gente foi campeão em alta no Google.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-tabata-amaral-inteligencia-ltda/,falso,2024-09-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTVccZN8nQlFl2JaPODl5JmWYQQL_glYnFxQYw43cn0j4kXC1_v,"['Debate', 'Flow Podcast', 'Google']"
Pablo Marçal levou um soco no debate do Flow,Aos Fatos,https://www.aosfatos.org/noticias/pablo-marcal-nao-levou-soco-apos-ser-expulso-do-debate-promovido-pelo-flow/,falso,2024-09-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHuPn9pTB4RtUBlvdK8MP86s_NLpUYAeB7Kleg-FA_xHJChz-9,"['Pablo Marçal', 'Debate', 'Flow Podcast', 'Soco']"
Datena não foi expulso do debate da TV Cultura após agredir Pablo Marçal,Aos Fatos,https://www.aosfatos.org/noticias/expulsoes-debates-marcal-datena/,falso,2024-09-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRnEBMOSNZaop94x4etaLlLChiQaBaprgA8v_eD3WWf_6Z_iRa7,"['Pablo Marçal', 'Datena', 'Debate', 'TV Cultura', 'Agressão']"
Marçal teria exagerado a gravidade de sua condição após sofrer uma agressão em debate eleitoral,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/09/25/entenda-o-e-a-pulseira-verde-dada-em-atendimento-hospitalar-a-marcal.htm,Comprovado,2024-09-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQETF6mJXTLooh3Q-POl2Cj2j5tQ_Kkp-KvF3JNLrIZskTjTPhu,"['Pablo Marçal', 'Eleição', 'Debate eleitoral', 'Agressão', 'Debate']"
Assista a reconciliação de Datena e Pablo marçal após cadeirada no debate,Boatos.org,https://www.boatos.org/politica/datena-e-pablo-marcal-se-abracam-depois-de-briga-em-debate-eleitoral.html,Falso,2024-09-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRsQcOSDKN_NO0QpuXVy95LK9sdtDQhRIFmAtcO04rJX-u83Kpy,"['Pablo Marçal', 'Datena', 'Debate']"
"Mediador do debate da TV Cultura, Leão Serva, arremessa celular para longe após cadeirada de Datena contra Marçal",Estadão,https://www.estadao.com.br/estadao-verifica/mediador-atira-celular-debate-prefeitura-sp-tv-cultura-enganoso/,Enganoso,2024-09-20 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHWXF5kPjMag6tISm8rHEA6cYTJZzr2i7M3YMdXBt_G8lUmf2p,"['TV Cultura', 'Leão Serva', 'Debate', 'Telefone celular', 'Datena', 'Pablo Marçal']"
