Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
O Brasil bateu recorde de aquisição de vacina [durante a pandemia de Covid-19],Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,falso,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,"['Recorde', 'COVID-19', 'Brasil', 'Vacina', 'Pandemia', 'Pandemia de COVID-19']"
"Hoje o orçamento de educação é de R$ 9,5 bi. Ele é 50% maior do que era quando eu assumi a Prefeitura do Rio de Janeiro em 2021",Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,falso,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,"['Rio de Janeiro', 'Orçamento', '2021', 'Prefeito no Brasil', 'Educação', 'Prefeitura do Rio de Janeiro']"
Nós tivemos quase 90% dos nossos compromissos cumpridos.,Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,falso,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,[]
Você [Eduardo Paes] extinguiu a Secretaria de Administração que cuida do servidor público.,Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,falso,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,"['Eduardo Paes', 'Público', 'Administração', 'Servidor']"
A empresa que construiu a ciclovia voltou a contratar com a prefeitura. Pegou a obra da estação Leopoldina para ganhar R$ 136 milhões.,Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,falso,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,[]
Tenho muito orgulho de defender o programa que tirou o Brasil da fome.,Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,não_é_bem_assim,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,[]
"Ramagem, inclusive, o candidato do Amorim, aquele em que ele vai votar, inclusive foi um dos autores deste PL do estupro",Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,verdadeiro,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,[]
"O prefeito atual do Rio de Janeiro tem um TAC assinado com o Ministério Público, com o antigo secretário de Ordem Pública dele, que impede qualquer ação referente ao crack.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-debate-band-prefeitura-rio-de-janeiro/,falso,2024-08-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBMi_78XIqZ0GK--JpwnfN9vVxdDkP4-bzmrxNs-O_AZphkjVj,[]
"O elevador, sozinho, consegue colocar mais turistas internacionais do que Brasil inteiro",Aos Fatos,https://www.aosfatos.org/noticias/checamos-o-debate-da-band-entre-os-pre-candidatos-a-prefeitura-de-sao-paulo/,falso,2024-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS-H_nM85N5FVwsKowRYQPSC0TZ9EaipFPmY4MCPrDR4FoeBNZd,"['Brasil', 'Turismo', 'Elevador']"
Elas unidas [as polícias] são um exército de 110 mil homens.,Aos Fatos,https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-da-band-em-sp/,contraditório,2018-08-16 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTg25TPdKPmxfkS05y9B6KxPXS4SKnzgBxkVBgS0pEf2scJERre,"['Polícia', 'Forças armadas']"
