Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Vídeo mostra Lula falando em inglês sobre compra de Viagra para as Forças Armadas,Estadão,https://www.estadao.com.br/estadao-verifica/lula-e-bolsonaro-falando-em-ingles-falso/,Falso,2025-04-09 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRVLTIkv6S2hAd9UXZcSoAI0yecsjmnQwkb7ngimgTCUHop964p,"['Luiz Inácio Lula da Silva', 'Inglês', 'Forças armadas', 'Vídeo', 'Sildenafil']"
"""lula e Bolsonaro falando em inglês""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/04/10/lula-fala-ingles-melhor-bolsonaro-popcorn-falso-ia.htm,Falso,2025-04-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuc3AMavz8cgdlhONmPldBpNWHNoC_7fqDRhXRjEzCuQxoscmL,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Inglês']"
"A Petrobras, ao longo de 14 anos de PT, se endividou em aproximadamente 900 bilhões de reais.",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/08/29/bolsonaro-e-lula-o-que-e-falso-e-o-que-e-verdadeiro-no-1-embate-direto.htm,Falso,2022-08-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQcikig660pdfXUnK799uBQ-bIdkH5zqWKsb5kpznpjEpKdpxk1,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Petrobras', 'Petrobras']"
Bolsonaro disse que lidou melhor com o desmatamento na Amazônia do que Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32MD4Q6,Enganoso,2022-10-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTvDb5IxiFGgIYcVRLkjPNJL6x8kOYxZcAENa-OXebn-yzOCQy_,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Desflorestação', 'Amazônia', 'desmatamento da Floresta Amazônica']"
Lula disse 'tenho que mentir',UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/19/video-omite-que-lula-falava-de-bolsonaro-ao-dizer-tenho-que-mentir.htm,Insustentável,2022-10-19 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSGo7v47X8nQ3Y1CZ4jyoiM3SXl1k-IAHsY6TEc2Dp9WMF27JMs,"['Luiz Inácio Lula da Silva', 'Mentira']"
"Eu vou ver um trecho aqui. 'Não adianta uma multidão de brasileiros subnutridos sem condições de servir a seu país'. Conclui o então deputado que oferece que seja distribuído pílula de aborto para a sociedade brasileira em 1992, quando era deputado",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/29/lula-debate-globo-2-turno.htm,Falso,2022-10-29 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOFe44HTrf5SAIlgRLPIfDwiOMQM5fGBjUrGVwd1_t7RyQt8KC,"['Aborto', 'Pílula anticoncepcional', 'Deputado', 'Brasil', 'País', 'Sociedade']"
Este vídeo prova que Lula teve um lapso de memória durante o debate presidencial de agosto de 2022,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HC4P2,Enganoso,2022-08-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNKtWdSginjsOqwOgyg8O5TduVcggBM5s24nj4NtNrH4v1_ubb,"['Luiz Inácio Lula da Silva', 'Debate', 'Presidente', 'Debate eleitoral', '2022', 'Agosto', 'Vídeo', 'Prova', 'Memória']"
​​Lula defende o uso de mentiras na política,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/lula-nao-defendeu-o-uso-de-mentiras-na-politica-ao-contrario-do-que-sugere-post/,Falso,2022-10-21 07:00:00,,"['Luiz Inácio Lula da Silva', 'Mentira', 'Político']"
Lula revogou uma lei criada por Jair Bolsonaro (PL) para combater fraudes no INSS,Estadão,https://www.estadao.com.br/estadao-verifica/lula-bolsonaro-lei-combate-fraudes-inss/,Falso,2025-05-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS4hsleaxNeJeTnybU8MKmRIXJM0XEze9EAFVSzeRYOrVcLESal,"['Instituto Nacional do Seguro Social', 'Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Fraude', 'INSS', 'Lei', 'Esquema de fraudes no INSS', 'Partido Liberal']"
Vídeo mostra reação de Bolsonaro à prisão de Lula e de Lula à prisão de Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/racao-bolsonaro-lula-prisoes-adversarios-enganoso-papuda-lhe-espera/,Enganoso,2025-11-24 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS41yCcCrmfJ5kVKm1mALzny3W_BxtvTIfBGqOxQUdXWhJqDumu,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Prisão', 'Prisão de Jair Bolsonaro', 'Prisão de Luiz Inácio Lula da Silva', 'Vídeo']"
