Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula morreu e foi substituído por um sósia,Estadão,https://www.estadao.com.br/estadao-verifica/lula-mudanca-drastica-rosto-falso/,Falso,2025-06-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRoCi-pRNcGxwPwycTMuvwvd2cYBkWMQMmgHqC2rr9En5bd-45p,"['Luiz Inácio Lula da Silva', 'Sósia', 'Morte']"
Lula musculoso aos 80 anos,Estadão,https://www.estadao.com.br/estadao-verifica/lula-musculoso-praia-foto-manipulada/,Enganoso,2026-01-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRJ49P7WuKsQwH1bNudAqWJwxQMV36IC3Z4OglQUHxE1k3Gw1Si,"['Luiz Inácio Lula da Silva', 'Década de 1980']"
"Lula recebe muçulmanos e a Operação Acolhida, do governo federal, está pagando R$ 7 mil por mês e dando moradia a refugiados da Palestina e de outros países.",Estadão,https://www.estadao.com.br/estadao-verifica/video-lula-recepcionando-brasileiros-libano-nao-muculmanos-palestinos/,Enganoso,2026-03-31 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTXhOGkQb9XmA6C_sE1C7Oc1CK0dCRocUt5-FsP7D_giepkeyk,"['Luiz Inácio Lula da Silva', 'Palestinos', 'Refugiado', 'R7', 'Mês', 'Refugiados palestinos', 'País', 'Islã', 'Governo']"
Vídeo mostra Lula recebendo refugiados muçulmanos no Brasil; cada um deles ganhará R$ 7.000 mensais por seis meses,Aos Fatos,https://www.aosfatos.org/noticias/falso-governo-lula-pagara-auxilios-7000-refugiados-muculmanos/,falso,2026-04-01 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJUuPxhJnTCkDtIPS4accRQwjKtm1-VrkfGQitGQZCz7T_2Nfh,"['Luiz Inácio Lula da Silva', 'Refugiado', 'Muçulmano', 'Brasil', 'Islã', 'Mês', 'Islamismo no Brasil', 'Vídeo']"
Presidente Lula morreu e foi substituído por sósia,Estadão,https://www.estadao.com.br/estadao-verifica/lula-sosia-teoria-da-conspiracao/,Falso,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQozi7TDi5DMLstx6M-21dmP6VoY07g2Xwq1NUEH4xRXw59VeaO,"['Luiz Inácio Lula da Silva', 'Sósia', 'Presidente', 'Morte']"
Lula disse em discurso que ‘trabalhador é pra trabalhar’ e que ir ao teatro e ao cinema é ‘coisa de gente chique’,Aos Fatos,https://www.aosfatos.org/noticias/lula-trabalhadores-teatro-cinema/,falso,2026-03-31 19:46:29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLKI00COlmuacFVCnJ6dvymvwIvlQlCTeXbNoBSPNXFnObtREF,"['Luiz Inácio Lula da Silva', 'Trabalhador', 'Teatro', 'Trabalho', 'Cinema', 'Discurso', 'Imposto de renda']"
"Lula diz que trabalhador tem de trabalhar, não pensar em lazer",Estadão,https://www.estadao.com.br/estadao-verifica/lula-criticou-ideia-trabalhador-e-para-trabalhar/,Enganoso,2026-03-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ72EVIX_DgCxAI93yMArmGvDD8SFaruWFtaz3ILkZkiY0qrDKJ,"['Luiz Inácio Lula da Silva', 'Trabalhador', 'Trabalho', 'Lazer', 'Pensamento']"
Lula está com desaprovação de 88%,Estadão,https://www.estadao.com.br/estadao-verifica/lula-desaprovado-por-88/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQkwHKJFW32UUBf_o5T7FoOA9x3o_Bq6xmtCZfPAnyxK9lA7zjT,['Luiz Inácio Lula da Silva']
"Lula fala da situação econômica em 2025, em vídeo vazado",Estadão,https://www.estadao.com.br/estadao-verifica/lula-estados-quebrados-2016/,Enganoso,2025-12-04 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRCPZWFBiFxq4zHgUYX-AP59-hVc7bWBP0Ks0g1lYBu-oWTJTmA,"['Luiz Inácio Lula da Silva', 'Vídeo', '2025', 'Economia']"
"Em áudio, médico diz que quadro de Lula é gravíssimo",Estadão,https://www.estadao.com.br/estadao-verifica/audio-lula-gravissimo-falso/,Falso,2024-12-13 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTa29oVeNCtkaRCpj5QsBrlb0HR1hZ6CgvLW0dgXMeb3VzuFZUN,"['Luiz Inácio Lula da Silva', 'Medicina']"
