Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Voto impresso aprovado na CCJ recentemente.,Aos Fatos,https://www.aosfatos.org/noticias/voto-impresso-foi-aprovado-na-ccj-em-2019-nao-recentemente/,distorcido,2021-04-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQsWKprjR4VigFVT9CsEDQjSZBINQqehfDw53-Iu42opF4dhhLr,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Comissão de Constituição, Justiça e Cidadania do Senado Federal do Brasil']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
Parágrafo da lei 10.408/2002 garante voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/trecho-de-lei-de-2002-que-determinava-impressao-do-voto-nao-esta-mais-em-vigor/,falso,2021-07-12 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9ftFzZ8ApiK0imb2WAuht2v4GVJJDj-xzC0n4owCX0YF6KfRv,"['Votação', 'Comprovante de votação verificado pelo eleitor', 'Lei']"
TSE não cumpre lei para impressão do voto sancionada por Lula,Aos Fatos,https://www.aosfatos.org/noticias/stf-derrubou-lei-lula-voto-impresso/,falso,2022-07-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7au648dIIqiy3VGlYEHk1WJ4SmTaaOg1jvk7SexbAdFMSfVI-,"['Luiz Inácio Lula da Silva', 'Votação', 'Tribunal Superior Eleitoral', 'Lei', 'Sanção jurídica']"
Supremo Tribunal Federal (STF) considerou o voto impresso inconstitucional,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tuite-engana-ao-dizer-que-o-stf-decidiu-que-voto-impresso-e-inconstitucional/,"Enganoso: Na realidade, o STF não decidiu que o voto impresso era inconstitucional, mas sim um artigo da reforma eleitoral segundo o qual deveria ser feita a impressão de um comprovante após o voto nas urnas eletrônicas",2020-09-17 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSZ8OaFrSQqtN_6iiJVnWgNwE8LYh43W13di0g6eut50fT7zCwc,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Supremo Tribunal Federal', 'Tribunal']"
Voto impresso já é lei e deveria estar sendo implantado. Lei 10408,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/posts-enganam-ao-afirmar-que-voto-impresso-ja-e-lei/,"ENGANOSO: O conteúdo verificado destaca trecho revogado da Lei 10.408, que dispõe sobre um mecanismo da urna que permite a impressão do voto.",2021-07-19 07:00:00,,"['Votação', 'Comprovante de votação verificado pelo eleitor', 'Lei']"
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5e01nS8_OJfem_RbqwCjJv7y3lPetCtiTa6iWoWPz3OyEiZ8,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Papel', 'Cédula eleitoral', 'Urna eletrônica']"
Barroso pagou 9 milhões para cada líder e vice-líder partidário para que trocassem os deputados que votariam a favor do voto impresso por políticos que eram contrários.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/08/13/e-falso-que-barroso-pagou-para-deputados-votarem-contra-voto-impresso.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSi0rEHu1PM_OFpTboM0KZsRGLtK0NX8hdofj81tJpeoHacqHft,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Deputado', 'Político', 'Liderança', 'Líder de partido']"
Só o Brasil usa urnas eletrônicas,Estadão,https://www.estadao.com.br/estadao-verifica/apenas-brasil-urna-eletronica-falso/,Falso,2024-10-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQBq5bRLsBSbQbN7XekxSQCvE7lPwuSsrhyYOdDXcj3cD3dcwuv,"['Urna eletrônica', 'Urna eleitoral', 'Brasil']"
"Países que fizeram a eleição com cédula de papel ou urnas com voto impresso, como Paraguai, Uruguai, Equador e Argentina, tiveram derrota da esquerda",Estadão,https://www.estadao.com.br/estadao-verifica/voto-impresso-direita-esquerda-falso/,Falso,2024-06-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxLQo3SVz8isn-NkR8FYANGo53aMOT3HbyfD-GypjFyqOa8f0r,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Eleição', 'Esquerda', 'Urna eleitoral', 'Argentina', 'País', 'Papel', 'Paraguai']"
