Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Centenas de mercados e festivais de Natal serão cancelados pela primeira vez (...). Este cenário demonstra que as políticas de diversidade e inclusão na Alemanha estão a falhar em toda a linha. É importante reflectir sobre este facto quando se criticam as propostas preventivas do Chega.,Observador,https://observador.pt/factchecks/fact-check-alemanha-cancelou-centenas-de-mercados-de-natal-por-receio-de-ataques-terroristas/,Errado,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Alemanha', 'Natal', 'Mercado', 'Política', 'Fato', 'Chega!', 'Festival']"
"O presidente Ibrahim Traoré, de Burkina Faso, de fato proibiu a pornografia no país. A decisão, segundo informações, visa proteger os valores morais e salvaguardar as gerações futuras. É uma medida significativa, e as reações têm sido variadas",Observador,https://observador.pt/factchecks/fact-check-presidente-do-burkina-faso-proibiu-a-pornografia-no-pais/,Enganador,2025-08-11 07:00:00,,"['Burkina Faso', 'Pornografia', 'Ibrahim Traoré', 'Presidente', 'Fato', 'País', 'Informação', 'Valor', 'Geração']"
Algo para reparar e pensar em relação a Zelensky. Eu nunca o tinha visto de fato. Acho que este [Klaus Schwab] é o único homem para quem ele o veste.,Observador,https://observador.pt/factchecks/fact-check-zelensky-corta-com-a-tradicao-e-usa-fato-no-forum-mundial-economico-para-impressionar-o-fundador-do-evento/,Enganador,2025-03-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT7EC9JTQvpT4eoev45ZD_q7vPnCJRIKFPX3WrtWSAo--cRMwwf,"['Volodymyr Zelensky', 'Fato', 'Klaus Schwab', 'Visto', 'Homem']"
EUA vazou imagens do 8/1 que mostram armação de Lula,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-eua-vazou-imagens-8-de-janeiro-armacao-lula/,falso,2025-03-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNG5ry9UNX5mpyfojPn4v69qbeEGynBwtkpMsVqpsyOqX-a510,"['Luiz Inácio Lula da Silva', 'Estados Unidos', 'Imagem']"
"A Agência Lupa é uma das agências de fact-checking que encontramos envolvidas em ações patrocinadas pela Usaid dentro de ""campanhas de combate à desinformação em período eleitoral"" desenvolvidas por ONGs.",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/02/14/e-falso-que-agencia-lupa-foi-financiada-pela-usaid.htm,Falso,2025-02-14 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTBVWMYKJ3JNxyFAATUGyd5Qq1Y_SmWTO_oUUfh0CPF4DYVkeiC,"['Agência Lupa', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Verificação de fatos', 'Desinformação', 'Eleição', 'Fato', 'Ação', 'Organização não governamental']"
E é por isso que o amo! Diz os factos! Arrasou completamente a Selena Gomez.,Observador,https://observador.pt/factchecks/fact-check-donald-trump-criticou-nas-redes-sociais-selena-gomez-por-ter-chorado-com-video-de-imigrantes/,Errado,2025-01-30 08:00:00,,"['Selena Gomez', 'Fato']"
GUSTAVO LIMA EXPLICA OS FATOS E CRITICA A MÍDIA,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/09/25/gusttavo-lima-video-tratado-criminoso-antigo.htm,Distorcido,2024-09-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJkd7BpPGpIhXt7eORgXmg18UD3s-a6MU-0ugwF3qNEz-DAi_H,"['Gusttavo Lima', 'Fato', 'Crítica']"
Kamala Harris mentiu 24 vezes e nunca foi alvo de um fact check.,Observador,https://observador.pt/factchecks/fact-check-estacao-de-televisao-abc-nunca-fez-fact-checks-a-declaracoes-de-kamala-harris/,Errado,2024-09-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Kamala Harris', 'Verificação de fatos', 'Fato']"
"Trump não sofreu ferimentos na sequência do ataque a tiro em comício na Pensilvânia e penso serve para ""encobrir esse facto"".",Observador,https://observador.pt/factchecks/fact-check-trump-nao-sofreu-ferimentos-na-sequencia-do-ataque-a-tiro-em-comicio/,Errado,2024-07-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Donald Trump', 'Comício', 'Fato', 'Pensilvânia']"
Depois de causar sofrimento ao Lula ela confessa. Juíza Gabriela revela fatos da Lava Jato,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/07/08/nao-e-voz-de-gabriela-hardt-em-audio-sobre-lava-jato-atribuido-em-post.htm,Falso,2024-07-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr4au-rMVcLGY8BxyAMh0TykyRWTIMMj9CSUHvVCADuwRR1a18,"['Juiz', 'Luiz Inácio Lula da Silva', 'Operação Lava Jato', 'Fato', 'Sofrimento']"
