Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Maduro implica Obama em investigação de fraude eleitoral e tráfico de drogas,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/29/falso-maduro-obama-fraude-eleitoral.ghtm,Falso,2026-04-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRN0RQxdw-dZHii3gh3iFjiQzfJUSW049p9pzc4VKK5wmWzefYt,"['Nicolás Maduro', 'Fraude eleitoral', 'Barack Obama', 'Fraude', 'Eleição', 'Narcotráfico', 'Droga', 'Pesquisa']"
Maduro implica Obama em investigação de fraude eleitoral e tráfico de drogas,Estadão,https://www.estadao.com.br/estadao-verifica/maduro-obama-fraude-eleitoral-falso/,Falso,2026-04-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS2FVxGXXZHpjoxi3xwvZgvkkmzXA63VUnAF2m8Qr-NW3HzCbRn,"['Nicolás Maduro', 'Fraude eleitoral', 'Barack Obama', 'Eleição', 'Fraude', 'Pesquisa', 'Narcotráfico', 'Droga']"
A Polícia Federal pede a prisão do Alexandre de Moraes por fraudar Documentos falsos contra o Jair messias Bolsonaro.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/10/falso-pf-pedido-prisao-alexandre-de-moraes.ghtm,Falso,2026-04-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQXrwuSxYdoy9yhUzVpBCD0ZWHawQ09LXTFTh_lI2rtd8Af265z,"['Alexandre de Moraes', 'Polícia Federal', 'Jair Bolsonaro', 'Departamento de Polícia Federal', 'Fraude', 'Prisão', 'Documento', 'Polícia']"
"CGU apontou 35 mil irregularidades em processos licitatórios do governo Lula que são crimes de corrupção, fraude e lavagem de dinheiro.",Estadão,https://www.estadao.com.br/estadao-verifica/enganoso-cgu-35-mil-irregularidades-licitacoes-governo-lula/,Enganoso,2026-04-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRt4F2XzhQo1mruIxFDuTlF4-dkOtdejAHBaYwf-W63lLwesnBz,"['Controladoria-Geral da União', 'Controladoria Geral da União', 'Licitações públicas', 'Fraude', 'Luiz Inácio Lula da Silva', 'Corrupção', 'Governo', 'Crime', 'Lavagem de dinheiro']"
"PF pediu prisão de Moraes, que fraudou documentos contra Jair Bolsonaro",Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-pf-pediu-prisao-de-moraes-por-fraude-documental-contra-bolsonaro/,falso,2026-04-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ7esHfltavBnUzdxY8FL3IqGYfURDVRXkGFcdWTBlg5nQfdjDl,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Prisão', 'Documento']"
Lula e Janja pagaram R$ 31 milhões em ternos a alfaiate envolvido em fraude do INSS,Estadão,https://www.estadao.com.br/estadao-verifica/lula-e-janja-pagaram-r-31-milhoes-em-ternos-alfaiate-fraude-inss/,Enganoso,2026-02-09 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSUVwJhrrHiuUM8dDXFKMw2H-bd9kkFRttT_HZHyx3P2caXORTj,"['Luiz Inácio Lula da Silva', 'Janja Lula da Silva', 'Instituto Nacional do Seguro Social', 'Alfaiate', 'Terno', 'INSS', 'Esquema de fraudes no INSS', 'Fraude']"
Depoimento de Mike Benz deixa claro que Brasil foi vítima de golpe de Estado,Estadão,https://www.estadao.com.br/estadao-verifica/mike-benz-nao-provou-fraude-eleicoes/,Falso,2026-02-05 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQdZvN2TocG-uY5TVqSOyRXytxyejY8oWCqojQmnqdQ_4ltymc1,"['Brasil', 'Estado', 'Claro', 'Golpe de Estado']"
Fraudes no INSS financiaram campanhas eleitorais do PT,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTM2I67wLzZAazd6HZZHEmKmMOiX09TxB0MzfsC_xJNbi4qFd9,"['Instituto Nacional do Seguro Social', 'Partido dos Trabalhadores', 'INSS', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Eleição', 'Campanha eleitoral', 'Fraude']"
Como se proteger de scams e golpes virtuais,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/10/13/o-que-sao-os-scams-golpes-ou-fraudes-virtuais-e-como-se-proteger.htm,Enganoso,2025-10-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQHM79UFHvkwWKP1FJhxH6vfjqghgn9g7SZWdArh2qRL1rMFt7a,"['Golpe', 'Trapaça']"
Irmãos de Lula e Flávio Dino estão envolvidos no esquema do INSS,Aos Fatos,https://www.aosfatos.org/noticias/irmaos-de-lula-e-de-flavio-dino-nao-sao-investigados-por-fraude-no-inss/,falso,2025-10-02 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRUPWpxgFM16llbBT8g6CCF3les3WcK1cW_PQrLjx7fwHTPSbQQ,"['Flávio Dino', 'INSS', 'Instituto Nacional do Seguro Social', 'Luiz Inácio Lula da Silva', 'Esquema de fraudes no INSS']"
