Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Depoimento de Mike Benz deixa claro que Brasil foi vítima de golpe de Estado,Estadão,https://www.estadao.com.br/estadao-verifica/mike-benz-nao-provou-fraude-eleicoes/,Falso,2026-02-05 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQdZvN2TocG-uY5TVqSOyRXytxyejY8oWCqojQmnqdQ_4ltymc1,"['Brasil', 'Golpe de Estado', 'Vítima', 'Estado']"
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Eleição', 'Votação', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Fraude eleitoral', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsQZK51XiX5p6nheDlDgjzfdadpgc1bwRJwmXKSrYEIUc3PTY5,"['Luís Roberto Barroso', 'Taiwan', 'Votação', 'Circuito integrado', 'Luiz Inácio Lula da Silva', '2022', 'Estados Unidos']"
TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,2025-03-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRL6dWo2X-Lk0houLLDXWQAvWSkSJUODpxb6ihgLnhRyjx2zC6j,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Eleição', 'Fraude']"
"Fraude eleitoral: USAID pagou US$ 500 mil à empresa Smartmatic, que forneceu urnas eletrônicas ao Brasil em 2022",Estadão,https://www.estadao.com.br/estadao-verifica/usaid-500-mil-smartmatic-urnas-eleicoes-2022-falso/,Falso,2025-02-13 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQeDGVlHHrRGFtpAeDHKMaBl5BvsdvZAS5-zToLzZvemXgqsXtM,"['Smartmatic', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Eleição', 'Brasil', 'Fraude eleitoral']"
"A Smartmatic, empresa acusada de fraude eleitoral que atuou nas eleições brasileiras de 2022, responsável pelas urnas eletrônicas e pela contagem dos votos, recebeu financiamento da USAID",Aos Fatos,https://www.aosfatos.org/noticias/falso-smartmatic-eleicoes-2022-brasil-dinheiro-usaid/,falso,2025-02-07 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQwy3s3RLr_bzQLGt4v8VJAGs6TZ6YyG91hZAmalm_O-mGmDQSm,"['Smartmatic', 'Eleição', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Fraude eleitoral', 'Votação']"
Descarte de 195 mil urnas eletrônicas é queima de arquivo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/02/28/posts-distorcem-sobre-descarte-de-195-mil-urnas-pelo-tse.htm,Distorcido,2025-02-28 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPWiZClvJNFrUlFJ63dxkELuac4O-wvQh5H48UwsB4PPRT1pOF,"['Urna eleitoral', 'Urna eletrônica', 'Arquivo']"
Bolsonaro anuncia novas provas de que foi eleito no primeiro turno,AFP Checamos,https://checamos.afp.com/doc.afp.com.36V64YH,Falso,2025-01-21 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTm2q_EUlmdB3F6p59MAFQDAcleiTHQOhqH7WqWO1vUajsxkVbX,"['Jair Bolsonaro', 'Eleição', 'Prova']"
Vídeo mostra fraude eleitoral nos EUA na qual voto de Trump é transferido para Kamala,Aos Fatos,https://www.aosfatos.org/noticias/falso-voto-para-trump-foi-computado-kamala/,falso,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR6VKOUnorZ_7xJhQPIo696jexmwgbUiQiLtpTVkseiAyatYczp,"['Kamala Harris', 'Donald Trump', 'Votação', 'Eleição', 'Estados Unidos', 'Fraude eleitoral', 'Fraude', 'Vídeo']"
Guilherme Boulos fica na inelegibilidade e cometeu crime eleitoral por ter votado com a família,AFP Checamos,https://checamos.afp.com/doc.afp.com.36JR29U,Enganoso,2024-10-09 07:00:00,,"['Guilherme Boulos', 'Inelegibilidade', 'Eleição', 'Fraude eleitoral']"
