Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Depoimento de Mike Benz deixa claro que Brasil foi vítima de golpe de Estado,Estadão,https://www.estadao.com.br/estadao-verifica/mike-benz-nao-provou-fraude-eleicoes/,Falso,2026-02-05 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQdZvN2TocG-uY5TVqSOyRXytxyejY8oWCqojQmnqdQ_4ltymc1,"['Brasil', 'Golpe de Estado', 'Vítima', 'Estado']"
Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsQZK51XiX5p6nheDlDgjzfdadpgc1bwRJwmXKSrYEIUc3PTY5,"['Luís Roberto Barroso', 'Taiwan', 'Votação', 'Circuito integrado', 'Luiz Inácio Lula da Silva', '2022', 'Estados Unidos']"
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Eleição', 'Votação', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Fraude eleitoral', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
Fraude comprovada nas urnas em 2022,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/06/12/documentos-de-agencia-dos-eua-nao-provam-fraude-nas-urnas-no-brasil.htm,Falso,2025-06-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSYjdlllqKNhigiiB2iXC2Bn0uPyM6evRGurZsxef82eV7HAbpK,"['Fraude', 'Urna eleitoral', '2022']"
William Waack denunciou fraude nas urnas eletrônicas,AFP Checamos,https://checamos.afp.com/doc.afp.com.36YB6Z3,Enganoso,2025-02-20 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ_q0POIDJ-cO5Ft3i6SHwnA5y3c_krnjA_6frt1ADjfygfWqug,"['William Waack', 'Fraude nas urnas eletrônicas']"
Musk expõe conversa entre Alexandre de Moraes e engenheiro da Oracle responsável por fraudar algoritmo,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/03/14/volta-a-circular-mentira-sobre-urnas-fraudadas-por-moraes-em-2022.htm,Falso,2025-03-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQqo5qcFvb6G_tf_5a2G-d3sCvH3ntHdxYssCvyOEYRJdz4zdiK,"['Alexandre de Moraes', 'Elon Musk', 'Engenheiro', 'Fraude', 'Algoritmo', 'Oracle Corporation']"
TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,2025-03-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRL6dWo2X-Lk0houLLDXWQAvWSkSJUODpxb6ihgLnhRyjx2zC6j,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Eleição', 'Fraude']"
Descarte de 195 mil urnas eletrônicas é queima de arquivo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/02/28/posts-distorcem-sobre-descarte-de-195-mil-urnas-pelo-tse.htm,Distorcido,2025-02-28 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPWiZClvJNFrUlFJ63dxkELuac4O-wvQh5H48UwsB4PPRT1pOF,"['Urna eleitoral', 'Urna eletrônica', 'Arquivo']"
TSE vai destruir 195 mil urnas para esconder provas de fraude,Aos Fatos,https://www.aosfatos.org/noticias/tse-destruir-urnas-provas-fraude/,falso,2025-02-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2F_GgSDikyArnN_17ob9sdGUT-EdzmZDi-H97NUKzwkRx5ZhF,"['Tribunal Superior Eleitoral', 'Urna eleitoral', 'Fraude', 'Prova']"
"Fraude eleitoral: USAID pagou US$ 500 mil à empresa Smartmatic, que forneceu urnas eletrônicas ao Brasil em 2022",Estadão,https://www.estadao.com.br/estadao-verifica/usaid-500-mil-smartmatic-urnas-eleicoes-2022-falso/,Falso,2025-02-13 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQeDGVlHHrRGFtpAeDHKMaBl5BvsdvZAS5-zToLzZvemXgqsXtM,"['Smartmatic', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Eleição', 'Brasil', 'Fraude eleitoral']"
