Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Só o Brasil usa urnas eletrônicas,Estadão,https://www.estadao.com.br/estadao-verifica/apenas-brasil-urna-eletronica-falso/,Falso,2024-10-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQBq5bRLsBSbQbN7XekxSQCvE7lPwuSsrhyYOdDXcj3cD3dcwuv,"['Urna eletrônica', 'Urna eleitoral', 'Brasil']"
Elon Musk publicou um vídeo da trama do golpe das urnas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/volta-a-circular-mentira-sobre-urnas-terem-sido-fraudadas-por-moraes-em-2022/,Falso: Não há qualquer evidência de que as eleições de 2022 tenham sido fraudadas. Vídeo viral volta a circular com uma falsa troca de mensagens entre o ministro Alexandre de Moraes e um engenheiro da Oracle.,2025-03-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt-JSGaFYa1JrqffNyjzS8iKuDm7aq4wHMFHknS87lJAoBCwaM,"['Urna eleitoral', 'Elon Musk', 'Vídeo']"
TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,2025-03-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRL6dWo2X-Lk0houLLDXWQAvWSkSJUODpxb6ihgLnhRyjx2zC6j,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Eleição', 'Fraude']"
TSE vai destruir 195 mil urnas para esconder provas de fraude,Aos Fatos,https://www.aosfatos.org/noticias/tse-destruir-urnas-provas-fraude/,falso,2025-02-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2F_GgSDikyArnN_17ob9sdGUT-EdzmZDi-H97NUKzwkRx5ZhF,"['Tribunal Superior Eleitoral', 'Urna eleitoral', 'Fraude', 'Prova']"
Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsQZK51XiX5p6nheDlDgjzfdadpgc1bwRJwmXKSrYEIUc3PTY5,"['Luís Roberto Barroso', 'Taiwan', 'Votação', 'Circuito integrado', 'Luiz Inácio Lula da Silva', '2022', 'Estados Unidos']"
"Com 97,63% das urnas apuradas, Bolsonaro estava com 55,38% dos votos, enquanto Lula tinha somente 35,80%",Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-55-lula-35-fraude-eleitoral-enganoso/,Enganoso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ9w-VLrlKt84T1PJZwJpo1SrmowB9YrG7EH99cP7UjStN8WNHy,"['Jair Bolsonaro', 'Votação', 'Luiz Inácio Lula da Silva', 'Urna eleitoral', '1963', '1955']"
Conversa entre Alexandre de Moraes e engenheiro da Oracle confirma que houve fraude nas urnas,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-moraes-engenheiro-oracle-urnas-eletronicas/,Falso,2024-09-20 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQybaDuvZtgM3HieyCy9J5cqEwGIs10sVL8ccG0xucmHw_OU8_1,"['Alexandre de Moraes', 'Fraude nas urnas eletrônicas', 'Urna eleitoral', 'Fraude', 'Oracle Corporation']"
Descarte de 195 mil urnas eletrônicas é queima de arquivo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/02/28/posts-distorcem-sobre-descarte-de-195-mil-urnas-pelo-tse.htm,Distorcido,2025-02-28 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPWiZClvJNFrUlFJ63dxkELuac4O-wvQh5H48UwsB4PPRT1pOF,"['Urna eleitoral', 'Urna eletrônica', 'Arquivo']"
"Fraude eleitoral: trecho da transmissão da TV Record mostrou a apuração das urnas eletrônicas em São Paulo aumentou repentinamente de 3,92% para 98,14%",Estadão,https://www.estadao.com.br/estadao-verifica/apuracao-disparou-fraude-urnas-enganoso/,Enganoso,2024-10-07 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwJSU_YTBb7AD1gcmcLT7rapyUvEGrMQ6MI-26kA5Mau_Jopmv,"['Fraude', 'Fraude eleitoral', 'Urna eleitoral', 'Urna eletrônica', 'Eleição', 'Record', 'São Paulo']"
"Sistema eleitoral brasileiro é uma farsa, diz deputado em vídeo removido",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-de-2010-descredibilizando-as-urnas-sem-provas-volta-a-circular-como-se-fosse-atual/,"Enganoso: Diferentemente do que afirma o então deputado federal pelo PDT, Fernando Chiarelli, ele não provou que as urnas eletrônicas são uma farsa.",2024-10-06 07:00:00,,"['Eleição', 'Sistema eleitoral do Brasil', 'Deputado', 'Vídeo']"
