Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Lula diz que as três melhores coisas do Maranhão são ar-condicionado, mulher de fora e a passagem para ir embora do estado",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/01/lula-nao-fez-piada-sobre-mulheres-e-passagem-para-ir-embora-do-maranhao.ghtm,Falso,2026-06-01 19:39:34,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSzAH06jfrztZCGp1obOEk8s6rZWutHSNc5ZdZpZEruSTF-XePj,"['Luiz Inácio Lula da Silva', 'Maranhão', 'Mulher', 'Imposto de renda', 'Ar-condicionado']"
Lula é preso após ser fotografado destruindo provas de crimes em uma lareira,Estadão,https://www.estadao.com.br/estadao-verifica/video-ia-lula-destruindo-provas-fotografia-preso-falso/,Falso,2026-05-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ1ghjEJ03svSyaRwX-OIVyjiko10xTuh5CmKd80S-HUPP290Hc,"['Luiz Inácio Lula da Silva', 'Prisão', 'Crime', 'Lareira']"
Até a Shakira apoia o Lula.,Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-lula-num-concerto-em-copacabana/,Errado,2026-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Shakira', 'Luiz Inácio Lula da Silva']"
"""EU NÃO GOSTO DE AMANTE DE DITADOR!"" — O clima pesou na Casa Branca e o vexame foi histórico! Donald Trump não apenas excluiu Lula da foto oficial, como expulsou o delegado da PF da reunião e mandou o petista ""se colocar no lugar"".",Observador,https://observador.pt/factchecks/fact-check-donald-trump-expulsa-lula-da-silva-de-fotografia-oficial-na-casa-branca/,Errado,2026-05-29 07:00:00,,"['Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca', 'Fotografia', 'Clima', 'Ditador', 'Amante', 'Departamento de Polícia Federal', 'Polícia Federal']"
"""BOMBA AGORA! Lula FLAGRADO com mala com MILHÕES do Vorcaro dentro da sede do PT? REVIRAVOLTA""",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/27/falso-pf-flagra-lula-mala-dinheiro-vorcaro.amp.htm,Falso,2026-05-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ0mNAr076uVhf50TrAVZkeSJ0PUbMPHI-0WbXYS4HKzrjPFAc,"['Daniel Vorcaro', 'Luiz Inácio Lula da Silva', 'Partido dos Trabalhadores', 'Mala', 'Partido dos Trabalhadores']"
Lula é capa desta semana de uma das revistas mais conhecidas em todo mundo.,Observador,https://observador.pt/factchecks/fact-check-lula-da-silva-foi-capa-da-time-em-maio-de-2026/,Errado,2026-05-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Luiz Inácio Lula da Silva', 'Revista', 'Mundo']"
Lula foi o que mais gastou em viagens na história do mundo,Estadão,https://www.estadao.com.br/estadao-verifica/lula-nao-gastou-sozinho-7-bilhoes-viagens/,Enganoso,2026-05-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmSYC1QucLvrKLAyJHpv7Sm7eVepblGkbokj1b6FTd8rNYAMDr,"['Luiz Inácio Lula da Silva', 'Viagem', 'Mundo']"
Lula recebeu mala com dinheiro de Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/lula-mala-dinheiro-master-pf-falso/,Falso,2026-05-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSrk8ERNk93TKCuDIkrBrmMnQszrY_R86NW1Lz3pq7QO_hjpAXo,"['Luiz Inácio Lula da Silva', 'Daniel Vorcaro', 'Dinheiro', 'Mala']"
Deputado do RN ameaça Lula com arma,Estadão,https://www.estadao.com.br/estadao-verifica/deputano-rn-ameaca-lula-em-evento-natal-fora-contexto/,Enganoso,2026-05-22 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmjCby4Ew4hW6x5gBzzz8GTA0-ohF2TbcvPSKW0gQcdfOjuMEj,"['Luiz Inácio Lula da Silva', 'Deputado', 'Rio Grande do Norte', 'Deputado Estadual do Rio Grande do Norte', 'Arma']"
Presidente Lula foi flagrado com mala de dinheiro de Daniel Vorcaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3RX8ZQ,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSRTJwqDtADN7_hmCSiqXHucp0zcCdE04fFn9y5s-b2vfohcA0l,"['Daniel Vorcaro', 'Luiz Inácio Lula da Silva', 'Presidente', 'Dinheiro', 'Mala']"
"Pesquisas apontam que Lula deve vencer ainda no primeiro turno com 72,9%",AFP Checamos,https://checamos.afp.com/doc.afp.com.B39V367,Falso,2026-05-19 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkpXMX0zGmaSL7grLveghOz-T4W_lCaTahknDbFcjSfSGkzlNm,['Luiz Inácio Lula da Silva']
Lula cria 5 mil empregos para chineses na Bahia enquanto o estado sofre com desemprego,Aos Fatos,https://www.aosfatos.org/noticias/militares-chineses-farda-pm-baiana/,falso,2026-05-19 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT92JlZ2bcYwEZUR8U-pjIrarItZOyJPmpUcEfEZ2dbOtxP9vha,"['Bahia', 'Desemprego', 'Luiz Inácio Lula da Silva']"
“LULA ACABA DE SER EXPULSO DA CASA BRANCA POR TRUMP! JANJA CHORA!,Observador,https://observador.pt/factchecks/fact-check-donald-trump-expulsou-lula-da-silva-da-casa-branca/,Errado,2026-05-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAdCTWXjkK3C4HGBdeSodJVXcPYdtk8Hv0Pr7jKseaWXg2fu4y,"['Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca', 'Janja Lula da Silva']"
Lula é capa da revista Time em maio de 2026,Estadão,https://www.estadao.com.br/estadao-verifica/capa-time-lula-2022-antiga/,Fora de contexto,2026-05-15 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTIXePaGkdIols0xIzKv9HEkfjQ2OUwmTtdbI4lAkt2kXty346Q,"['Luiz Inácio Lula da Silva', 'Time', 'Revista', '2026', 'Maio']"
Lula é capa da revista Time nesta semana,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2VP2T3,Enganoso,2026-05-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXSnpLk_5hZHqAZz1ABS6aFmmeyDZ7ojYRYhC94oQ8lsVm7O6y,"['Luiz Inácio Lula da Silva', 'Time', 'Revista']"
"O presidente LULA acaba de virar capa da TIME, uma das maiores revistas do mundo!",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/14/enganoso-lula-capa-revista-time.amp.htm,Distorcido,2026-05-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRvugmorf8k8xLKC0OYjmToyMR_DhndFjhoGzvN27PH0hMMqwCx,"['Luiz Inácio Lula da Silva', 'Presidente', 'Revista', 'capa', 'Equipe', 'Mundo']"
Lula foi capa da revista Time de maio de 2026,Aos Fatos,https://www.aosfatos.org/noticias/lula-capa-time/,falso,2026-05-12 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP-JHEbkcP4dwOH5nqG8Np9NDi4Uj9PRv0R1ZMygcO4gHCUgAp,"['Luiz Inácio Lula da Silva', 'Time', 'Revista', 'Maio', '2026']"
Imagem mostra Trump esmagando Lula na reunião de hoje,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2ND763,Falso,2026-05-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTrB3KPVLD9a06nSYr55K1xpOK5bP6H_0eCk19yvPGI0P_kpjUZ,"['Luiz Inácio Lula da Silva', 'Donald Trump', 'Imagem']"
Trump esmagou Lula na Casa Branca,Estadão,https://www.estadao.com.br/estadao-verifica/imprensa-americana-trump-esmagou-lula/,Falso,2026-05-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ8znQYMj1Wr-8OgqAicvIyXxTEmFutt1-Som0_d8co0H3P36HF,"['Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca']"
"Pilili, mascote da urna eletrônica, faz o L de Lula",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/08/falso-mascote-tse-fez-o-l.ghtm,Falso,2026-05-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTly0XfN1Gcr7UahWG_vKNdWCDAbExR8d7WAUyOptt2q3heww8P,"['Luiz Inácio Lula da Silva', 'Urna eleitoral', 'Mascote', 'Faz o L', 'Máquina de votação', 'Eletrônica']"
Eduardo Bolsonaro divulga nota de pesar após Trump receber Lula na Casa Branca,Estadão,https://www.estadao.com.br/estadao-verifica/eduardo-bolsonaro-encontro-donald-trump-lula-casa-branca/,Fora de contexto,2026-05-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQQ-XLJu2rNQC_dod4glcp9SythJ5q8BDFIVnZ87lqLTXm9FhUI,"['Eduardo Bolsonaro', 'Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca']"
Shakira fez o L de Lula em show no Rio,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/08/falso-shakira-fez-o-l-show-copacabana.ghtm,Falso,2026-05-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOHWfHHum7jv5xsfJRvDW7p_USHtvfyj81Xn0cT5KPYzBhlrVa,"['Shakira', 'Luiz Inácio Lula da Silva', 'Espetáculo', 'Rio de Janeiro']"
Foto mostra Trump gritando com Lula durante reunião na Casa Branca,Aos Fatos,https://www.aosfatos.org/noticias/trump-grita-lula/,falso,2026-05-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQGXqLyci8syf1YLtZfMH0dCNnUyiwQDuygKahu2cdg2Arlii8u,"['Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca', 'Fotografia']"
Governo Lula liberou as bets no Brasil,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2876T6,Enganoso,2026-05-07 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEg9f0bk14mtuxlHEcrs-4573jMYKIisMNvU78uf0nW_DjLVNK,"['Luiz Inácio Lula da Silva', 'Jogo de apostas', 'Brasil', 'Governo Lula']"
Lula foge do palácio aos gritos de volta Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/07/lula-nao-saiu-do-palco-apos-gritos-pro-bolsonaro-audio-e-manipulado.ghtm,Falso,2026-05-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ6abGEWUU4Cgqwoa6JezPMJHI8r7f2jet680s5S2ivqVkFOT8,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro']"
Lula debocha de endividados e diz que é bom que o povo possa se endividar,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2339G3,Enganoso,2026-05-06 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQnU-ZK6nMoXVEHi2Z2aSzKplJneu0Yi4whDcrthKG9mtp01CG7,"['Luiz Inácio Lula da Silva', 'e', 'O Povo']"
Coca-Cola vai passar a vender produtos menores no Brasil pelo mesmo preço por conta do governo Lula,Aos Fatos,https://www.aosfatos.org/noticias/coca-cola-embalagens-menores-lula/,falso,2026-05-06 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSMnoHJojAPgxQv6_jGGvBaho2Fxxpscxd9NPX4vPU7MuIZGmcX,"['The Coca-Cola Company', 'Luiz Inácio Lula da Silva', 'Brasil', 'Governo', 'Preço', 'Produto']"
Lula debochou de pessoas endividadas,Aos Fatos,https://www.aosfatos.org/noticias/discurso-lula-debochou-endividados/,não_é_bem_assim,2026-05-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgMttdhLmZHRPAWmP_8FHVw_oY84lxFXY8ywL0OZjc9BFjR28p,['Luiz Inácio Lula da Silva']
Lula sancionou lei que permitiu bets no país,Aos Fatos,https://www.aosfatos.org/noticias/temer-lula-bets/,falso,2026-05-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTvAGlbdI3MNl9nACGaOUPhMvMzNpnr-fsXCbtEpmopM8k8csqp,"['Luiz Inácio Lula da Silva', 'Jogo de apostas', 'Lei']"
"Lula mais uma vez desafia Trump; ""Se ele invadir Cuba, o Brasil estará pronto para ajudar a proteger a soberania do país""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/03/falso-lula-brasil-protecao-cuba-invasao-eua.ghtm,Falso,2026-05-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRoHLsHz6yS52cuo3W65kxt1q27GdUtwuCmvcLhzSdjMJophh8T,"['Luiz Inácio Lula da Silva', 'Cuba', 'Brasil', 'Donald Trump', 'Soberania', 'País', 'Sergipe']"
"""PERNAMBUCO SURPREENDE O BRASIL. Nova pesquisa mostra um cenário que muita gente não esperava ver no Nordeste. Flávio Bolsonaro: 50,5% Lula: 38,1% Aldo Rebelo: 5,8%.Se esses números se confirmarem, não é apenas uma pesquisa. É uma mudança de vento político""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/30/enganoso-pesquisa-pernambuco-flavio-bolsonaro-lider-lula.ghtm,Distorcido,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQXndMCJc73Ux-1jj8NTp4T0kZixfsaaCkcPLgJ2J67sMLSzgXD,"['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Pesquisa', 'Brasil', 'Político', 'Aldo Rebelo', 'Pernambuco', 'Região Nordeste do Brasil']"
Até quando vamos ser enganados? - imagem de Lula com 10 dedos,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/30/falso-imagem-lula-mala-dinheiro-ia.ghtm,Falso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS67kKlKjCNnJLkkJgnB5tFBa9vVThqmPj_CdzgKMqJSWBrOtfG,"['Luiz Inácio Lula da Silva', 'Imagem', 'Dedo']"
Vídeo mostra Lula fugindo do Palácio após ser vaiado,Estadão,https://www.estadao.com.br/estadao-verifica/video-mostra-lula-saindo-de-palco-apos-problemas-com-microfone-e-nao-fugindo-de-vaias/,Falso,2026-04-30 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbtdpvPzMQC8i-UHfKP1G03DqrT1EH0z6HoVyR_93aQ2IWNngz,"['Luiz Inácio Lula da Silva', 'Vaia', 'Vídeo']"
"Lula diz: ""Eu só ganhei as eleições porque o povo nordestino é analfabeto""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/29/lula-nao-disse-que-so-ganhou-eleicao-porque-nordestino-e-analfabeto.ghtm,Distorcido,2026-04-29 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-fFc4H17EIThRENzw6iCWCytkVRqnUYN36IzxMW_o9z00qo1c,"['Luiz Inácio Lula da Silva', 'Eleição']"
Lula beija o dono da Choquei que foi preso pela PF,AFP Checamos,https://checamos.afp.com/doc.afp.com.A99R463,Enganoso,2026-04-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSHNWCL_zQgfnT1ILlttAMLHR1SjrcHTXJB7a-PtGX8j0xrWRxE,"['Luiz Inácio Lula da Silva', 'Choquei', 'Polícia Federal', 'Departamento de Polícia Federal', 'Prisão']"
Lula disse que Brasil vai defender Cuba em caso de invasão norte-americana,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9A769E,Enganoso,2026-04-28 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQatb1PxHFQYVADpDZqqeigLfPNklXTFuWRYfeL7b6kAivIsLVx,"['Luiz Inácio Lula da Silva', 'Cuba', 'Brasil', 'Invasão']"
