Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula disse que comprou votos para vencer as eleições de 2022,Estadão,https://www.estadao.com.br/estadao-verifica/lula-conta-como-comprou-todos-eleicao-2022/,Enganoso,2024-08-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFrR-pMmEKflhG4e77ng6ofrmUvX8Iwf1aMcMJsN_aFdOZYJBL,"['Luiz Inácio Lula da Silva', 'Eleição', 'Votação', '2022', 'Eleições presidenciais brasileiras, 2022']"
Lula gastou 300 bilhões para se eleger,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-enganoso-video-que-sugere-que-lula-admitiu-gastar-r-300-bilhoes-para-se-eleger/,"Enganoso: Na entrevista em que menciona esse valor, Lula se referia a Bolsonaro e não a si mesmo. A campanha de Bolsonaro gastou R$ 89 milhões e a de Lula R$ 131 milhões.",2024-08-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR5znRjShYeXcMVBvAsEmkyCLO72ucIjS-1zutNiXEmxCRSr_EH,['Luiz Inácio Lula da Silva']
"""Lula confessa que gastou 60 bilhões de dólares na COMPRA de VOTOS para vencer as eleições de 2022""",Observador,https://observador.pt/factchecks/fact-check-lula-confessa-que-gastou-60-mil-milhoes-de-dolares-a-comprar-votos/,Errado,2024-08-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOv_Mheo-5LPg4qYWWsymKcqVbeLWVUBH6sgQDSOE1unX2YU8W,"['Luiz Inácio Lula da Silva', 'Votação', 'Eleição', 'Compra e venda de votos', 'Um bilhão', 'Eleições presidenciais brasileiras, 2022', '2022']"
Lula ensina como dar golpe.,Estadão,https://www.estadao.com.br/estadao-verifica/lula-ensina-a-dar-golpe-enganoso/,Enganoso,2024-11-22 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSnukEwKiV315M4QQOTeuWRtXcIX4vbBZCxd_YW4SkKXusO5RMT,"['Luiz Inácio Lula da Silva', 'Golpe de Estado']"
Retrospectiva do governo Lula em 2023; um verdadeiro desgoverno,Estadão,https://www.estadao.com.br/estadao-verifica/postagem-enganosa-usa-boatos-antigos-para-fazer-retrospectiva-de-lula-em-2023/,Enganoso,2024-01-18 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS8k-C1aTBbb0OetyEV7EtwatRzdLr4xXNf0879CkeN2Ui06uW0,"['Luiz Inácio Lula da Silva', 'Governo', '2023']"
"Lula disse que, se for reeleito, não deixará que ninguém lave dinheiro no Brasil",Estadão,https://www.estadao.com.br/estadao-verifica/falso-declaracao-lula-fim-lavagem-de-dinheiro/,Falso,2026-03-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnoUaWZ_g_9G4zL1dCK2Or7Kq3m4K8bhaignhbThxbEzCHL0lc,"['Luiz Inácio Lula da Silva', 'Dinheiro', 'Brasil', 'Reeleição']"
Lula confessou que gastou US$ 60 bilhões para comprar votos e vencer as eleições,Aos Fatos,https://www.aosfatos.org/noticias/falso-lula-confessou-60-bilhoes-compra-de-votos/,falso,2024-08-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa-5EWKOpYehYw-SR6PCu0ErEf4zY8-BqA6vTaUAd-OzZraXiF,"['Luiz Inácio Lula da Silva', 'Eleição', 'Votação', 'Estados Unidos']"
Lula vai emprestar 5 bilhões para o Caribe,Estadão,https://www.estadao.com.br/estadao-verifica/enganoso-lula-emprestimo-15-bilhoes-caribe/,Enganoso,2025-06-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrSDZKIR4qrWg8APAZhJ7meE5z83OQNyAPP11rLeaVcvbtGbNr,"['Luiz Inácio Lula da Silva', 'Caribe']"
Lista de promessas no plano de governo de Luiz Inácio Lula da Silva,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/05/imagem-falsa-plano-de-governo-lula-tse.htm,Falso,2022-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcToEaKMf8dZyTqxOVZELPxU7P-b24U_ykHKyZTEwniXe-staJYv,"['Luiz Inácio Lula da Silva', 'Governo Lula', 'Governo']"
Lula disse que o pobre não pode consumir para não deixar o rico mais rico,Estadão,https://www.estadao.com.br/estadao-verifica/lula-se-o-pobre-consumir-mais-o-rico-fica-mais-rico/,Enganoso,2025-12-05 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT0a8WhgsmDif6fGMhqolSVMlLrpE5OJqEQQZ8guFnW-dGyvyAX,"['Luiz Inácio Lula da Silva', 'Pobreza']"
