Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Porque no governo passado ninguém se metia a fazer greve. Então, só o fato do cara falar: ‘porra, o Lula está no governo, eu posso fazer uma grevezinha’. Ótimo! Que bom que ele está exercitando o direito de reclamar, o direito de reivindicar.",Aos Fatos,https://www.aosfatos.org/noticias/educacao-discurso-lula-desinformacao/,não_é_bem_assim,2024-07-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSEwfrwospujBkS37RJPsWbSeb_dV116BXQm0C_Cl8xkgzT242O,"['Luiz Inácio Lula da Silva', 'Governo', 'Fato', 'Greve', 'Direito']"
Nós pegamos esse país com 140 institutos federais [criados em cerca de 100 anos]. Nós vamos concluir 782 institutos federais nesse país,Aos Fatos,https://www.aosfatos.org/noticias/educacao-discurso-lula-desinformacao/,falso,2024-07-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSEwfrwospujBkS37RJPsWbSeb_dV116BXQm0C_Cl8xkgzT242O,"['Instituto', 'Instituto Federal de Educação, Ciência e Tecnologia', 'Ano', 'País']"
Eu sou o único presidente da República que não tem diploma universitário.,Aos Fatos,https://www.aosfatos.org/noticias/educacao-discurso-lula-desinformacao/,falso,2024-07-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSEwfrwospujBkS37RJPsWbSeb_dV116BXQm0C_Cl8xkgzT242O,"['Presidente', 'Diploma', 'Presidente do Brasil', 'estudante universitário']"
O Brasil foi o último país do mundo a ter uma universidade federal.,Aos Fatos,https://www.aosfatos.org/noticias/educacao-discurso-lula-desinformacao/,falso,2024-07-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSEwfrwospujBkS37RJPsWbSeb_dV116BXQm0C_Cl8xkgzT242O,"['Universidade', 'Brasil', 'Universidade federal', 'Mundo', 'País']"
Nós descobrimos que 500 mil alunos do ensino médio desistem da escola por ano,Aos Fatos,https://www.aosfatos.org/noticias/educacao-discurso-lula-desinformacao/,verdadeiro,2024-07-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSEwfrwospujBkS37RJPsWbSeb_dV116BXQm0C_Cl8xkgzT242O,"['Escola', 'Aluno', 'Ensino médio', 'Ano', 'Ensino']"
Lula defende que universidades sejam reservadas para ricos,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-engana-ao-tirar-de-contexto-fala-de-lula-sobre-universidade-ser-para-ricos/,"Enganoso: No vídeo original, Lula critica o que diz ser o pensamento da “elite política brasileira” ao segregar o acesso ao ensino superior.",2024-07-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTRJG7T-4rZWphc0B9eCGj3gs_zeZR8voK7Guxf1ZhluITjd0f_,"['Luiz Inácio Lula da Silva', 'Universidade', 'Riqueza']"
"Lula disse que universidade é para rico, e não para os pobres",Aos Fatos,https://www.aosfatos.org/noticias/falso-lula-disse-que-universidade-foi-feita-para-rico/,falso,2024-06-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRJ2ZcPltB4hbTCZ1lMYDAPltqPeZDBcf5fwdbisHxVTsW0xLN,"['Luiz Inácio Lula da Silva', 'Universidade', 'Pobreza']"
Diploma de Lula tem erros de português e universidade nega emissão do documento,Aos Fatos,https://www.aosfatos.org/noticias/posts-distorcem-homenagem-lula-falsificou-diploma/,não_é_bem_assim,2025-04-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKscWyKFNB2GR3Mzh5dfc-z-wfvvFde72WHfGR9QgKfNYTrdjI,"['Luiz Inácio Lula da Silva', 'Diploma', 'Universidade', 'Documento', 'Português']"
"São praticamente 10 mil obras em escolas que estavam paralisadas, creches, quase 6.000 creches que estavam paralisadas",Aos Fatos,https://www.aosfatos.org/noticias/lula-obras-paradas-escolas-perfil-social-alunos-usp/,falso,2024-02-01 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR6f0WuYYbkgQCepRzvkat7wwY8VFYKpho-LLvmix6opSkrye4X,"['Escola', 'Educação infantil']"
Metade da USP é aluno da periferia desse país.,Aos Fatos,https://www.aosfatos.org/noticias/lula-obras-paradas-escolas-perfil-social-alunos-usp/,não_é_bem_assim,2024-02-01 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR6f0WuYYbkgQCepRzvkat7wwY8VFYKpho-LLvmix6opSkrye4X,"['Universidade de São Paulo', 'Aluno', 'País']"
"Este país, que foi descoberto há 524 anos atrás, foi colonizado há muito tempo, foi o último país (...) a fazer com que a gente tivesse uma universidade.",Aos Fatos,https://www.aosfatos.org/noticias/lula-obras-paradas-escolas-perfil-social-alunos-usp/,não_é_bem_assim,2024-02-01 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR6f0WuYYbkgQCepRzvkat7wwY8VFYKpho-LLvmix6opSkrye4X,"['Universidade', 'País']"
Lula disse que universidade é para ricos,Estadão,https://www.estadao.com.br/estadao-verifica/lula-universidade-feita-para-rico/,Fora de contexto,2024-06-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQHRI2nLPwVpmZYHtufY5zpi3YKkP1yk1L07ikUDx7dRXoLc7lV,"['Luiz Inácio Lula da Silva', 'Universidade']"
"Lula diz que universidade foi feita para rico, não para pobre",AFP Checamos,https://checamos.afp.com/doc.afp.com.34WN27V,Enganoso,2024-06-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTiFmwXa1Rhn-j096D_PTRfrJygMsQMerkmm2tFVKVYsxKDQLOn,"['Luiz Inácio Lula da Silva', 'Universidade', 'Pobreza']"
"O normal é que universidade foi feita pra rico. Universidade foi feita para rico, não pra pobre",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/06/19/video-de-lula-sobre-universidade-feita-para-rico-esta-fora-de-contexto.htm,Distorcido,2024-06-19 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfaTb8Qe23HFHSRcOEhn2RE3D1-f4KkkzSO1O-TG3GNavTFUxa,"['Universidade', 'Riqueza', 'Pobreza']"
