Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Flávio Bolsonaro assume liderança em pesquisa sobre eleições de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.89PM7T3,Falso,2026-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9VJaZL7yrIZ0cpBZ3sZ557suH0W1iHe_8FF_fd86m5s2bZXF-,"['Flávio Bolsonaro', 'Eleição', '2026', 'Pesquisa', 'Liderança']"
"Pablo Marçal lidera a corrida eleitoral de São Paulo com 28,9% das intenções de voto",Estadão,https://www.estadao.com.br/estadao-verifica/marcal-lidera-pesquisa-instituto-verita-falso/,Falso,2024-08-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRYm-keZSaKQ8f-fY7JxjIpcnaav8nwO4lQE_iiYejdL4Cl42Al,"['Pablo Marçal', 'Eleição', 'Votação', 'São Paulo']"
Pesquisa Ipec no Jornal Nacional mostra Bolsonaro com 44%,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-que-mostra-bolsonaro-a-frente-na-pesquisa-ipec-do-dia-15-de-agosto-de-2022-e-falso/,"FALSO: Trecho do noticiário que citou pesquisa foi manipulado. A informação verdadeira tem Lula à frente, com 44%, e Bolsonaro em segundo, com 32%.",2022-08-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSXRGdS3fcrX1QHotJCLISfDiMVg4I-3ky6wVlYXc-jICy_-DaD,"['Jair Bolsonaro', 'Inteligência em Pesquisa e Consultoria Estratégica', 'Jornal Nacional', 'Pesquisa']"
Pablo Marçal aparece em 1º na pesquisa eleitoral do Instituto Veritá,AFP Checamos,https://checamos.afp.com/doc.afp.com.36EN68R,Falso,2024-08-23 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWwGFxjCfwIcrDpjway0D3nzki9nojfvqIuvKyowl1wKdX4Aor,"['Pablo Marçal', 'Eleição', 'Instituto Veritá', 'Pesquisa']"
Em pesquisa relâmpago da CNN Moro perder para Bolsonaro na disputa pela presidência em 2020,Aos Fatos,https://www.aosfatos.org/noticias/cnn-nao-fez-pesquisa-eleitoral-sobre-disputa-entre-moro-e-bolsonaro-presidencia/,falso,2020-04-28 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQLzOBHmlXZVpnIgbk5TD1QesPP437pOfsSDqyTpmwtuViXWv9n,"['Jair Bolsonaro', 'Sergio Moro', 'Presidente do Brasil', 'CNN Brasil', 'Pesquisa', '2020']"
"Candidata à prefeitura de Imperatriz (MA), Mariana Carvalho (Republicanos) posta pesquisa eleitoral falsa",Estadão,https://www.estadao.com.br/estadao-verifica/imperatriz-mariana-carvalho-pesquisa-falsa/,Enganoso,2024-10-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSSzVfF6ivNAlmUy8pwPwCSa0_QtN9c_w3F3xREpiYn8A1fiNsG,"['Mariana Carvalho Silva', 'Eleição', 'Imperatriz', 'Candidato', 'Pesquisa', 'Maranhão', 'Republicanos', 'Prefeitura de Imperatriz']"
Candidata Mariana Carvalho divulgou pesquisa 'fake',Agência Tatu de Jornalismo de Dados,https://www.agenciatatu.com.br/noticia/mariana-carvalho-pesquisa-imperatriz/,Predominantemente falso,2024-10-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrfg7dlSIhjn9hdMZ3JZIgmkV8hVl9gd-6KIZYfRQ3TkNBYQJ9,"['Candidato', 'Mariana Carvalho Silva', 'Pesquisa']"
Nova pesquisa data mercado: Lula 18% e Bolsonaro 70%,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/enquete-feita-em-restaurante-de-mg-nao-pode-ser-considerada-pesquisa-eleitoral/,ENGANOSO: Enquetes não podem ser consideradas pesquisas eleitorais porque não seguem método científico.,2022-04-14 07:00:00,,"['Pesquisa', 'Jair Bolsonaro', 'Luiz Inácio Lula da Silva', '2018', 'Mercado']"
"Bolsonaro terá 85 milhões de votos no 1º turno no dia 22 de outubro, informou a pesquisa Ipespe. Ou seja, 70% dos votos",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nenhuma-pesquisa-eleitoral-aponta-70-de-votos-para-bolsonaro/,FALSO: Tuíte cita levantamento eleitoral do instituto Ipespe que nunca existiu; postagem ainda traz informação errada sobre o tamanho do eleitorado brasileiro e o calendário eleitoral.,2022-04-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTeKuMcFLDDxIBhq6IFk_DWAIiASk8OHFZNu0m36JoCxSUeG37R,"['Jair Bolsonaro', 'Votação', 'Pesquisa', 'Instituto de Pesquisas Sociais, Politicas e Econômicas', 'Outubro', '22 de outubro']"
Apresentador da CNN ri e ironiza pesquisa que aponta Lula à frente de Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-apresentador-americano-riu-de-pesquisa-eleitoral-do-brasil/,FALSO: Edição foi feita a partir de uma gravação de 2015 de uma emissora ligada à Fox e a reportagem falava sobre um crime. A pesquisa na tela é antiga.,2022-02-23 08:00:00,,"['Pesquisa', 'Jair Bolsonaro', 'Apresentador de televisão', 'Luiz Inácio Lula da Silva', 'CNN Brasil']"
"Pesquisa mostra Bolsonaro na liderança com 86,57% das intenções.",Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-que-mostra-bolsonaro-com-8657-e-na-verdade-enquete-de-facebook-sem-rigor-estatistico/,falso,2018-08-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQRk0bkgrWQph5JKElXjL_pSubxHrvQq7d610E2o_PfCy5uSXD5,"['Jair Bolsonaro', 'Pesquisa', 'Liderança', 'Intenção']"
Ipec fica no mesmo endereço do Instituto Lula?,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-empresa-de-pesquisa-eleitoral-funcione-dentro-do-instituto-lula/,"FALSO: O Instituto Lula surgiu a partir do Instituto Cidadania, cuja sigla já foi Ipec. As duas instituições não estão situadas no mesmo endereço.",2022-09-01 07:00:00,,"['Luiz Inácio Lula da Silva', 'Instituto Lula', 'Inteligência em Pesquisa e Consultoria Estratégica']"
Roberto Jefferson afirma que Ibope e Folha fizeram pesquisa fake na eleição em Porto Alegre,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/diferenca-entre-resultados-de-pesquisa-e-de-eleicao-nao-implica-fraude/,"ENGANOSO: Embora o resultado da eleição não tenha confirmado os índices de uma pesquisa feita para a Prefeitura de Porto Alegre em 14 de novembro, a consulta confirmou os dois nomes que já vinham liderando as pesquisas anteriores. Além disso, a desistência de um dos candidatos na semana da eleição pode ter provocado mudanças nas intenções de voto",2020-11-23 08:00:00,,"['Eleição', 'Pesquisa', 'Roberto Jefferson', 'IBOPE', 'Porto Alegre', 'Folha de S.Paulo']"
Manuela D'Ávila está em quinto lugar nas pesquisas eleitorais.,Aos Fatos,https://www.aosfatos.org/noticias/pesquisas-recentes-nao-mostram-manuela-davila-em-5-lugar-nas-eleicoes-de-porto-alegre/,falso,2020-10-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRP3CcdiGedlG9mQAGOCUkKF19ZJth6isr6MvGfUcdkDATY3dHb,"[""Manuela d'Ávila"", 'Eleição', 'Pesquisa']"
Eduardo Campos liderava as pesquisas eleitorais quando morreu em 2014,Aos Fatos,https://www.aosfatos.org/noticias/eduardo-campos-pesquisas-presidencia/,falso,2022-05-20 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvS98i4VXdLqYYKk_p60g5dzcFY79A8cQsUzsL2MzenLyqPfQS,"['Eduardo Henrique Accioly Campos', 'Eleição', 'Pesquisa', 'Morte', '2014']"
Datafolha realizou pesquisa online sobre eleição presidencial,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2018/10/13/falso-datafolha-pesquisa-online-presidente-segundo-turno-haddad-bolsonaro.htm,Falso,2018-10-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQW7uzOikYCVicEzddE3u-JBiWBWghQb_p1Y8nGJtEI_PkigGgO,"['Datafolha', 'Eleição', 'Eleições presidenciais', 'Presidente', 'Pesquisa']"
Pesquisa aponta liderança de Haddad na corrida presidencial,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2018/09/11/pesquisa-que-coloca-haddad-na-lideranca-da-corrida-presidencial-e-falsa.htm,Falso,2018-09-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQyR64prnckm3FTPWanJRfD6zscs7AbmpPjI66MI84p1HgiApmJ,"['Fernando Haddad', 'Presidente', 'Pesquisa', 'Liderança']"
Enquete em rede social vale como pesquisa eleitoral,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2018/08/28/sem-valor-cientifico-enquete-no-facebook-nao-vale-como-pesquisa-eleitoral.htm,Falso,2018-08-28 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ-Kg147Rfdb2gfNRCNDETH3OJIZUkjwSoJWX4FrUKLIf27iLRz,"['Pesquisa de opinião', 'Eleição', 'Pesquisa', 'Rede de computadores', 'Rede social']"
"Instituto Lula e Ipec, empresa de pesquisa eleitoral, ficam no mesmo endereço",Aos Fatos,https://www.aosfatos.org/noticias/ipec-instituto-lula-nao-funcionam-mesmo-endereco/,falso,2022-09-02 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTqSecfD9DZ_MjsJLWK_EnbVp8-4KJJa8F613sQ1iy7kts86J2T,"['Inteligência em Pesquisa e Consultoria Estratégica', 'Instituto Lula', 'Luiz Inácio Lula da Silva', 'Eleição', 'Pesquisa']"
Fox News publicou pesquisa eleitoral que indica vitória de Trump com 322 delegados.,Aos Fatos,https://www.aosfatos.org/noticias/fox-news-nao-veiculou-pesquisa-que-indica-vitoria-de-trump-com-322-delegados/,falso,2020-11-03 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ_IpujxZPZK-Z4SSGvzz2oCfAGU8-hHWvM_RjnSXwmZsXcwJfd,"['Donald Trump', 'Eleição', 'Fox News Channel', 'Delegado', 'Pesquisa']"
Vídeo mostra pesquisa eleitoral registrada no TSE,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-eleitoral-que-aparece-em-video-nao-foi-registrada-no-tse/,não_é_bem_assim,2022-08-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcToKcSCSur258KenMj0BDQQeIWu94E49i1TMENJPjFOeDmLjpzJ,"['Eleição', 'Tribunal Superior Eleitoral', 'Pesquisa', 'Vídeo']"
"Paraná pesquisas registrado no TSE: *Bolsonaro* Vence hoje em todos os estados, porque o povo quer que ele continue!",Boatos.org,https://www.boatos.org/politica/pesquisa-eleitoral-parana-pesquisas-bolsonaro-vence-todos-estados-1o-turno.html,Falso,2021-09-24 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQeZpaigOpOADvVah7FNWm90wr3ytAY0gCkrQPqwvwvGAs5HRqR,"['Jair Bolsonaro', 'Paraná Pesquisas', 'Pesquisa', 'Tribunal Superior Eleitoral', 'O Povo', 'Unidades federativas do Brasil']"
