Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"O Ipec divulgou uma nova pesquisa contratada pela TV Globo sobre a intenção de voto para as eleições presidenciais. A disputa segue estável. Jair Bolsonaro tem 46%, e Lula tem 31% das intenções de voto",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/19/e-falso-que-pesquisa-ipec-mostra-bolsonaro-na-frente-de-lula-com-46-no-jn.htm,Falso,2022-09-19 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUTjBWB8bOuSsJcvnPEzY9v6_48N98k6k_nt928ZV3Rj_SoZO3,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Inteligência em Pesquisa e Consultoria Estratégica', 'Presidente', 'Pesquisa', 'Eleição', 'Votação', 'Eleições presidenciais', 'TV Globo']"
Pesquisa do Ibapesq mostra Bolsonaro com 65% das intenções de voto em 2022,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-bolsonaro-65-intencoes-voto-falsa/,falso,2022-03-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyUUMMGQp46f6BUfe2rMWkOdeWP8CiFtMMPA3f7fdEaDmUH6Dp,"['Jair Bolsonaro', 'Votação', 'Pesquisa', '2022']"
"Pesquisa mostra Bolsonaro na liderança com 86,57% das intenções.",Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-que-mostra-bolsonaro-com-8657-e-na-verdade-enquete-de-facebook-sem-rigor-estatistico/,falso,2018-08-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQRk0bkgrWQph5JKElXjL_pSubxHrvQq7d610E2o_PfCy5uSXD5,"['Jair Bolsonaro', 'Pesquisa', 'Liderança', 'Intenção']"
"Com 97,63% das urnas apuradas, Bolsonaro estava com 55,38% dos votos, enquanto Lula tinha somente 35,80%",Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-55-lula-35-fraude-eleitoral-enganoso/,Enganoso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ9w-VLrlKt84T1PJZwJpo1SrmowB9YrG7EH99cP7UjStN8WNHy,"['Jair Bolsonaro', 'Votação', 'Luiz Inácio Lula da Silva', 'Urna eleitoral', '1955', '1963']"
Revista Veja diz que o Nordeste abraçou Flávio Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A4PT9G3,Falso,2026-03-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTfcEHofay_LxV5ccjvFQ02DL3NVhhvnq8n69klktxQGXQKA_6w,"['Flávio Bolsonaro', 'Veja', 'Revista', 'Região Nordeste do Brasil']"
"Em nova pesquisa IPEC, Bolsonaro ganha no 1º e no 2º turno",Aos Fatos,https://www.aosfatos.org/noticias/video-e-manipulado-para-afirmar-bolsonaro-liderou-pesquisa-ipec/,falso,2022-09-20 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_PNbF28LzxJr08pnkFqqNo2qTWUciBPbr25-0wDu7nwgJzjTq,"['Jair Bolsonaro', 'Inteligência em Pesquisa e Consultoria Estratégica', 'Pesquisa']"
Paraná Pesquisas mostra que Bolsonaro lidera disputa presidencial em todos os estados,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-pesquisa-mostra-que-bolsonaro-lidera-disputa-presidencial-em-todos-os-estados/,falso,2021-11-08 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHdDbwXl_sKIzdApK8nc-sjmPDoYo8w27fLqqsx4gy2Vb_rLLj,"['Jair Bolsonaro', 'Paraná Pesquisas', 'Presidente', 'Pesquisa', 'Unidades federativas do Brasil']"
Flávio Bolsonaro assume liderança em pesquisa sobre eleições de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.89PM7T3,Falso,2026-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9VJaZL7yrIZ0cpBZ3sZ557suH0W1iHe_8FF_fd86m5s2bZXF-,"['Flávio Bolsonaro', 'Eleição', '2026', 'Pesquisa', 'Liderança']"
Pesquisa Ipec no Jornal Nacional mostra Bolsonaro com 44%,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-que-mostra-bolsonaro-a-frente-na-pesquisa-ipec-do-dia-15-de-agosto-de-2022-e-falso/,"FALSO: Trecho do noticiário que citou pesquisa foi manipulado. A informação verdadeira tem Lula à frente, com 44%, e Bolsonaro em segundo, com 32%.",2022-08-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSXRGdS3fcrX1QHotJCLISfDiMVg4I-3ky6wVlYXc-jICy_-DaD,"['Jair Bolsonaro', 'Inteligência em Pesquisa e Consultoria Estratégica', 'Jornal Nacional', 'Pesquisa']"
"Bolsonaro terá 85 milhões de votos no 1º turno no dia 22 de outubro, informou a pesquisa Ipespe. Ou seja, 70% dos votos",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nenhuma-pesquisa-eleitoral-aponta-70-de-votos-para-bolsonaro/,FALSO: Tuíte cita levantamento eleitoral do instituto Ipespe que nunca existiu; postagem ainda traz informação errada sobre o tamanho do eleitorado brasileiro e o calendário eleitoral.,2022-04-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTeKuMcFLDDxIBhq6IFk_DWAIiASk8OHFZNu0m36JoCxSUeG37R,"['Jair Bolsonaro', 'Votação', 'Pesquisa', 'Instituto de Pesquisas Sociais, Politicas e Econômicas', '22 de outubro', 'Outubro']"
