Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Polícia Federal apreendeu malas de dinheiro em sede do PT na Bahia,Aos Fatos,https://www.aosfatos.org/noticias/pf-malas-dinheiro-vorcaro-pt/,falso,2026-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRWMXthQpnE2uTzvKkCUtXAZ_FLAk4prtqgbzyQBndcDr4quomH,"['Polícia Federal', 'Departamento de Polícia Federal', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Dinheiro', 'Mala', 'Bahia', 'Polícia']"
"""BOMBA AGORA! Lula FLAGRADO com mala com MILHÕES do Vorcaro dentro da sede do PT? REVIRAVOLTA""",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/27/falso-pf-flagra-lula-mala-dinheiro-vorcaro.amp.htm,Falso,2026-05-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ0mNAr076uVhf50TrAVZkeSJ0PUbMPHI-0WbXYS4HKzrjPFAc,"['Daniel Vorcaro', 'Luiz Inácio Lula da Silva', 'Partido dos Trabalhadores', 'Mala', 'Partido dos Trabalhadores']"
Alexandre Frota denuncia plano de bolsonaristas para atacar igrejas e culpar o PT antes das eleições,Estadão,https://www.estadao.com.br/estadao-verifica/declaracao-alexandre-frota-bolsonaristas-prejudicar-lula-falso/,Falso,2026-05-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbs0xfUX3RSZ05mOTSJG5cYhijGLxmE_0HlJTtcIgD8opA3Xoq,"['Bolsonarismo', 'Partido dos Trabalhadores', 'Eleição', 'Partido dos Trabalhadores']"
Grupo de assessores do PT ganhou prêmio de R$ 120 milhões na Mega da Virada de 2025,Estadão,https://www.estadao.com.br/estadao-verifica/assessores-pt-mega-sena-120-milhoes-2019-enganoso/,Enganoso,2026-01-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZoXmZ1089EHlPxKy5EqD9TD1eSPiP4Rg6Dljeil0nNBMqBr5n,"['Mega-Sena', 'Partido dos Trabalhadores', 'prémio', 'Partido dos Trabalhadores', '2025']"
"Funcionários do PT ganharam Mega da Virada de 2025 com prêmio acumulado de R$ 1,09 bilhão",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/07/assessores-do-pt-nao-ganharam-mega-da-virada-de-r-1-bi-noticia-e-de-2024.htm,Distorcido,2026-01-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjUiSlv-eE27AR0nkX54t5T0RdUamW0s8a_1MIpdonoUk91D3A,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Um bilhão', '2025']"
Grupo de assessores do PT ganhou R$ 120 milhões na Mega da Virada 2025,Aos Fatos,https://www.aosfatos.org/noticias/grupo-de-assessores-do-pt-nao-ganhou-premio-de-r-120-milhoes-na-ultima-mega-da-virada/,falso,2026-01-02 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQqFgAhY1XPkAgLC5pO26NQXa_jrTZpajJ74HUhm4ci55T2fPpD,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', '2025']"
"Venezuela ""começou a dedurar"" após a prisão de Nicolás Maduro e Lula foi citado",Estadão,https://www.estadao.com.br/estadao-verifica/venezuela-comecou-a-dedurar-prisao-nicolas-maduro-hugo-carvajal-enganoso/,Enganoso,2026-01-09 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDl9F8OwQl2bKphO4GZkVbRaJSTdFMCHJ2mJH58RBAb1OZSpyD,"['Nicolás Maduro', 'Venezuela', 'Luiz Inácio Lula da Silva', 'Prisão']"
Assessores do PT ganharam R$ 120 milhões na Mega-Sena da virada de 2026,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/05/assessores-do-pt-ganharam-r-120-milhoes-na-mega-sena-em-2019.htm,Distorcido,2026-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpP2SjQm_kr9B2BBQ4nKJPNGcAWiH6uj5eWsY7XYi4GkU_adxE,"['Mega-Sena', '2026']"
Fraudes no INSS financiaram campanhas eleitorais do PT,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTM2I67wLzZAazd6HZZHEmKmMOiX09TxB0MzfsC_xJNbi4qFd9,"['Instituto Nacional do Seguro Social', 'Partido dos Trabalhadores', 'INSS', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Eleição', 'Campanha eleitoral', 'Fraude']"
Vazou áudio William Bonner Globo lucra bilhões com o PT no governo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/09/09/e-falso-audio-de-bonner-falando-que-ajudou-a-eleger-lula.htm,Falso,2025-09-09 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2ryf4HwFbURQmmi5mCQLBG7g3Tyv-UVmqDj_mTXHrX0ajLgI7,"['William Bonner', 'Partido dos Trabalhadores', 'TV Globo', 'Partido dos Trabalhadores', 'Lucro']"
O programa foi criado pelo PT para atender a ditadura cubana.,Aos Fatos,https://www.aosfatos.org/noticias/o-que-e-falso-e-o-que-e-verdadeiro-sobre-o-programa-mais-medicos/,falso,2025-08-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQN1Af4X7qSBrmOskWjT8w6VskKxvRxgylEHpYlWIveWjfwsNdR,"['Cubanos', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Ditadura']"
Luciano Hang declarou voto em Lula (PT) para 2026,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/08/08/video-tem-audio-manipulado-para-inventar-apoio-de-hang-a-lula-em-2026.htm,Falso,2025-08-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ1b8DGNwAF-fPywGKBMHadXVNz78_Lc4v0q04isUg7EW9pDYTH,"['Luciano Hang', 'Luiz Inácio Lula da Silva', 'Partido dos Trabalhadores', '2026', 'Votação', 'Partido dos Trabalhadores']"
Vídeo de Lindbergh Farias tem relação com assalto à casa da ex-esposa de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-de-deputado-do-pt-nao-tem-relacao-com-assalto-a-casa-de-ex-mulher-de-bolsonaro/,falso,2025-08-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS1x9eezmK9303sZTjdyB7r1o5SLM-9SWIii_XRNC4KpxYia0F1,"['Jair Bolsonaro', 'Assalto', 'Lindbergh Farias', 'Casa', 'Vídeo']"
"O deputado federal Lindbergh Farias (PT-RJ) seria o mandante da facada contra Jair Bolsonaro (PL) em 2018, cometida por Adélio Bispo de Oliveira",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/08/04/adelio-atacou-bolsonaro-sem-auxilio-externo-concluiram-investigadores.htm,Falso,2025-08-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSlejIvPJ98v-eRt3NXS5YO0yO08wzkgL2BXKNotZlH4upWWqt8,"['Adélio Bispo', 'Jair Bolsonaro', 'Deputado', 'Lindbergh Farias', 'Partido dos Trabalhadores', 'Deputado Federal do Brasil', 'Partido Liberal', 'Partido dos Trabalhadores']"
PT comprou filiados com R$ 100 na quadra da Unidos da Vila Kennedy,Estadão,https://www.estadao.com.br/estadao-verifica/video-escola-de-samba-eleicoes-internas-compra-de-filiados-enganoso/,Enganoso,2025-07-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT2KRxIC6Nn7JkLv5PKkY8tXvUCYIs6lWOZNIpOC0ssRYxod5sb,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Filiação', 'Unidos da Vila Kennedy', 'Vila Kennedy']"
"A governadora do PT Fátima Bezerra inaugurou um cano... Isso mesmo, UM CANO! 'Teje entregue!'",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/07/11/obra-hidrica-entregue-por-fatima-bezerra.htm,Distorcido,2025-07-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS4qIJVX6iZlzCsv271Aj6MOTSEaNcguYNrTlnhELBufBOAwY3E,"['Fátima Bezerra', 'Governador', 'Tubo', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores']"
Vídeo mostra manifestação do PT a favor do aumento do IOF,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-torcida-de-time-marroquino-nao-protesto-do-pt-a-favor-do-aumento-do-iof/,falso,2025-07-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQhd4A8qtoOcV_fOvwIFqFYHcpIrvdeN9Ex8bnAnMgO_y67cRF2,"['Imposto sobre Operações Financeiras', 'Manifestação', 'Vídeo']"
A apresentadora afirma que o presidente Luiz Inácio Lula da Silva (PT) teria ficado incomodado com comentários do papa Leão 14 sobre ele.,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/05/22/video-usa-ia-para-simular-critica-do-papa-a-lula-no-jornal-nacional.htm,Falso,2025-05-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtunODl1TV87Dc04BadrRpdIQdp5WwCyFM_v70zGz3Eo704-SW,"['Luiz Inácio Lula da Silva', 'Papa', 'Presidente', 'Partido dos Trabalhadores', 'Apresentador de televisão', 'Partido dos Trabalhadores']"
PT derrubou medida contra fraudes no INSS em 2022,Aos Fatos,https://www.aosfatos.org/noticias/todos-os-partidos-votaram-para-derrubar-medida-contra-fraudes-inss-nao-so-pt/,não_é_bem_assim,2025-05-16 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLfCs2Qxm4yWas6XSjTz9GD2gHdaSh7cVMyyBBUV2didGlajkD,"['Instituto Nacional do Seguro Social', 'INSS', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Fraude', '2022']"
Vídeo que o PT nega existir. Nine interagindo com o Marcola,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/05/08/lula-nao-estava-com-o-marcola-criminoso-do-pcc.htm,Falso,2025-05-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSi02f8pWiXqqkGnFt_RGdhKibVVMQu_Qvh3vBg1yHm001EHJzg,"['Marcola', 'Partido dos Trabalhadores', 'Vídeo', 'Partido dos Trabalhadores']"
Imagem do evento do PT no dia do trabalhador esvaziado em 2025,AFP Checamos,https://checamos.afp.com/doc.afp.com.44KH7T2,Enganoso,2025-05-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtPRZQECc2Lafq322ZjNwlxIn6gLX6uyv09l0vJD1g7RcCE3ZJ,"['Trabalhador', '2025', 'Imagem', 'Dia', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores']"
