Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Casado com uma israelita e a viver em Israel, o realizador Quentin Tarantino também se refugiou num abrigo em Telavive hoje.",Observador,https://observador.pt/factchecks/fact-check-imagem-que-mostra-realizador-quentin-tarantino-em-abrigo-antibombas-em-israel-e-real/,Errado,2026-03-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Quentin Tarantino', 'Israel', 'Diretor de cinema', 'Telavive']"
Lula disse que o Brasil está sob ameaça real de invasão durante visita de Cyril Ramaphosa,Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-que-brasil-esta-sob-ameaca-real-de-invasao-estrangeira/,não_é_bem_assim,2026-03-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBUnr1NDTzynJZxoyzKSk8-iibYKDQI7BWsk5pZsbFXM4YTwzv,"['Luiz Inácio Lula da Silva', 'Brasil', 'Invasão', 'Cyril Ramaphosa']"
"SERÁ GHISLAINE MAXWELL?
Esta mulher foi filmada em Quebec, Canadá, e se parece com Ghislaine Maxwell; a teoria da conspiração afirma que ela foi secretamente libertada da prisão.",Observador,https://observador.pt/factchecks/fact-check-video-que-mostra-ghislaine-maxwell-a-andar-numa-rua-no-canada-e-real/,Errado,,,"['Ghislaine Maxwell', 'Canadá', 'Prisão', 'Teoria', 'Quebec', 'Conspiração', 'Teoria da conspiração']"
"Sim, até o Stephen Hawking. Vivemos num mundo selvagem.",Observador,https://observador.pt/factchecks/fact-check-fotografia-que-mostra-epstein-bill-gates-bill-e-hillary-clinton-jay-z-diddy-e-stephen-hawking-juntos-e-real/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOv_Mheo-5LPg4qYWWsymKcqVbeLWVUBH6sgQDSOE1unX2YU8W,"['Stephen Hawking', 'Mundo']"
Nikolas Ferreira estava certo quando falou sobre monitoramento do Pix em 2025,Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-video-monitoramento-pix-2026-enganoso/,Enganoso,2026-01-16 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQCyRww1Cq_i-A5KQvv4osVScd1A22k3t7lEzMr0yxR5oUd3T1O,"['PIX', 'Nikolas Ferreira', '2025']"
"Imagem mostra estragos causados por inundação no Museu do Louvre, em França.",Observador,https://observador.pt/factchecks/fact-check-imagem-de-estragos-causados-por-inundacao-no-louvre-e-real/,Errado,2025-12-30 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Museu do Louvre', 'Inundação', 'Museu', 'Imagem', 'França']"
"Esparguete é mais importante que o Rei ❤️
Bem haja ao Trump!",Observador,https://observador.pt/factchecks/fact-check-imagem-que-mostra-donald-trump-a-comer-esparguete-enquanto-o-rei-carlos-iii-discursa-e-real/,Errado,2025-10-28 07:00:00,,"['Donald Trump', 'Espaguete']"
Foto mostra mãe com sua filha exibindo um cartaz pró-aborto,AFP Checamos,https://checamos.afp.com/doc.afp.com.79XT4NQ,Falso,2025-10-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX1B_NBQnmqHc3GEJqHCVVW-LGb5SV2LIDgp27XeMHKQl-yq8o,"['Aborto', 'Movimento pelo direito ao aborto', 'Mãe', 'Fotografia', 'Cartaz', 'Filho']"
Haddad diz em áudio que governo quer gastar mais em 2026 para comprar apoio,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nao-ha-evidencias-de-que-seja-real-um-audio-atribuido-a-haddad-sobre-compra-de-apoio/,Falso,2025-10-16 07:00:00,,"['Fernando Haddad', 'Governo']"
"Alertas sobre mudanças climáticas são golpe, confirma Trump",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/09/29/aquecimento-global-e-real-e-severo-ao-contrario-do-que-afirma-donald-trump.htm,Falso,2025-09-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS4aBJc4QL-_dpWUG-Al7q_5weaqrtog8JU-nLTY4-5wPekGAcB,"['Donald Trump', 'Mudanças climáticas', 'Clima']"
Príncipe William retira título real do neto de Camilla após ser flagrado intimidando o Príncipe George.,Observador,https://observador.pt/factchecks/fact-check-principe-william-retirou-titulo-real-a-um-neto-de-camilla-por-ter-intimidado-o-principe-george/,Errado,2025-07-17 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Camila do Reino Unido', 'William, Príncipe de Gales', 'Nobreza da Espanha']"
Neymar desqualifica Ancelotti (que jamais o quis no Real Madrid) e Jorge Jesus (que cortou as suas asas no saudita Al Hilal).,Observador,https://observador.pt/factchecks/fact-check-neymar-faz-criticas-a-jorge-jesus-e-ancelotti-e-recusa-escolha-de-treinador-portugues-para-liderar-selecao-do-brasil/,Errado,2025-04-23 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7hrDdUGTvqM7NH3BK7WYxmFbTrEBDdVyuyzgvmr19ppBTDTta,"['Neymar', 'Jorge Jesus', 'Carlo Ancelotti', 'Real Madrid Club de Fútbol', 'Al-Hilal SFC']"
Pikachu no meio dos protestos em curso na Turquia. Isto é real.,Observador,https://observador.pt/factchecks/fact-check-imagem-de-um-pikachu-num-protesto-na-turquia-e-real/,Errado,2025-04-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Protesto', 'Turquia', 'Pikachu']"
"Série ""Adolescência"" da Netflix é inspirada em história real de assassino negro ""que foi transformado em branco""",Observador,https://observador.pt/factchecks/fact-check-serie-adolescencia-da-netflix-e-inspirada-numa-caso-real-de-assassinato-de-uma-jovem/,Errado,2025-04-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Adolescência', 'Netflix', 'Assassínio']"
Roberto Carlos está a viver no centro de treinos do Real Madrid após divórcio.,Observador,https://observador.pt/factchecks/fact-check-ex-jogador-roberto-carlos-esta-a-viver-no-centro-de-treinos-do-real-madrid-apos-divorcio/,Errado,2025-01-21 08:00:00,,"['Roberto Carlos', 'Divórcio', 'Real Madrid Club de Fútbol']"
