Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Com 97,63% das urnas apuradas, Bolsonaro estava com 55,38% dos votos, enquanto Lula tinha somente 35,80%",Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-55-lula-35-fraude-eleitoral-enganoso/,Enganoso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ9w-VLrlKt84T1PJZwJpo1SrmowB9YrG7EH99cP7UjStN8WNHy,"['Jair Bolsonaro', 'Votação', 'Luiz Inácio Lula da Silva', 'Urna eleitoral', '1963', '1955']"
Roberto Jefferson afirma que Ibope e Folha fizeram pesquisa fake na eleição em Porto Alegre,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/diferenca-entre-resultados-de-pesquisa-e-de-eleicao-nao-implica-fraude/,"ENGANOSO: Embora o resultado da eleição não tenha confirmado os índices de uma pesquisa feita para a Prefeitura de Porto Alegre em 14 de novembro, a consulta confirmou os dois nomes que já vinham liderando as pesquisas anteriores. Além disso, a desistência de um dos candidatos na semana da eleição pode ter provocado mudanças nas intenções de voto",2020-11-23 08:00:00,,"['Eleição', 'Pesquisa', 'Roberto Jefferson', 'Folha de S.Paulo', 'IBOPE', 'Porto Alegre']"
Relatório mostra que Bolsonaro teve 51% dos votos no segundo turno,Aos Fatos,https://www.aosfatos.org/noticias/falso-bolsonaro-51-segundo-turno/,falso,2022-11-23 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSyl-hPu6XDwMAvJ0g5-r0bcT7CN6GzOQjwhCGxOTmMQAPlwTof,"['Jair Bolsonaro', 'Votação', 'Relatório']"
Financial Times afirma categoricamente que Joe Biden interferiu nas eleições brasileiras para ajudar Lula,Estadão,https://www.estadao.com.br/estadao-verifica/financial-times-biden-favoreceu-lula/,Enganoso,2023-06-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT76bTWMBfTb2DUb3leU_lA92xETRLOnp1YCKDGdHhl1kg0Zuml,"['Joe Biden', 'Eleição', 'Luiz Inácio Lula da Silva', 'Financial Times', 'Brasil']"
Etchegoyen disse que o resultado das eleições de 2022 foi manipulado,Aos Fatos,https://www.aosfatos.org/noticias/falso-etchegoyen-resultado-manipulado-eleicoes-2022/,falso,2023-07-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO41STg8nf5wB_ECAMaMeOBtEItZYViaqp2fmS0ytAutXUEVT4,"['Sérgio Etchegoyen', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022', 'Resultado']"
"TRE suspendeu o resultado das eleições no site e no aplicativo, apenas em Queimados!",O Globo,https://oglobo.globo.com/fato-ou-fake/e-fake-que-tre-rj-suspendeu-resultado-da-eleicao-em-queimados-24771514,Fake,2020-11-29 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNTmQ7CkmL-m5ZH7uUm71zpXx8UR0I2dnZlad7ZaYEIAknJlYo,"['Eleição', 'Queimados']"
Urna com 100% dos votos válidos em Lula prova que houve fraude eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/urna-todos-votos-lula-nao-prova-fraude/,não_é_bem_assim,2022-11-02 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmvdUEjqriQDXGOXddwp_cX0Yw3dB6UAgEOBnk8FgFRSZiYIoo,"['Luiz Inácio Lula da Silva', 'Fraude eleitoral', 'Votação', 'Urna eleitoral', 'Eleição', 'Voto válido', 'Fraude']"
Boletins de urna encontrados na rua em Curitiba mostram que contagem não foi feita de forma honesta,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-boletim-de-urna-encontrado-em-curitiba-nao-foi-computado-no-resultado-da-eleicao/,Falso,2022-10-05 07:00:00,,"['Urna eleitoral', 'Curitiba']"
Estabilidade das porcentagens de votos durante apuração em São Paulo é indício de fraude eleitoral.,Aos Fatos,https://www.aosfatos.org/noticias/estabilidade-dos-resultados-parciais-em-sao-paulo-nao-indica-que-houve-fraude-eleitoral/,falso,2020-11-17 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRWT7Emr6J2mAmG_f3YERKVtCXPOSUxjgCNElegTYzGgsZtXV3T,"['Fraude eleitoral', 'Fraude', 'Eleição', 'Votação', 'São Paulo', 'indício', 'Porcentagem']"
Soma de votos por região mostra Bolsonaro como ganhador das eleições,BOL - UOL,https://www.bol.uol.com.br/noticias/2022/11/01/soma-porcentagem-votos-regiao-distorce-bolsonaro-lula-vitoria.htm,Insustentável,2022-11-01 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQZWSfrl2vRvdwDlyiMA5stT8dVkQl3ywaYrIZmXP2g91EQoLw-,"['Jair Bolsonaro', 'Votação', 'Eleição']"
Datafolha e Ibope erraram resultado do primeiro turno de 2018 em dez pontos,Aos Fatos,https://www.aosfatos.org/noticias/postagens-distorcem-resultados-para-dizer-que-ibope-e-datafolha-erraram-em-2018/,falso,2022-09-15 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrEJQRcxc_PofXv56NNGNVmbTKWeZBvoK08l7babP8alM7isFf,"['Datafolha', 'IBOPE', 'Kantar IBOPE Media', '2018', 'Resultado']"
