Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Pesquisas apontam que Lula deve vencer ainda no primeiro turno com 72,9%",AFP Checamos,https://checamos.afp.com/doc.afp.com.B39V367,Falso,2026-05-19 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkpXMX0zGmaSL7grLveghOz-T4W_lCaTahknDbFcjSfSGkzlNm,['Luiz Inácio Lula da Silva']
Eleitores de Lula não precisarão voltar às urnas no 2º turno,Aos Fatos,https://www.aosfatos.org/noticias/falso-eleitor-lula-nao-precisa-votar-2-turno/,falso,2022-10-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdaeEnkLn4U9wQqLOXpEzWNql1CU-a071bHzX0R-h_kWaG99yw,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral']"
Boulos teve candidatura cassada e Marçal vai para o segundo turno,Aos Fatos,https://www.aosfatos.org/noticias/falso-boulos-foi-cassado-marcal-disputara-segundo-turno/,falso,2024-10-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTXEdI-gXCQHYFmz_JEMATtLv8osZQSPfUfmR8iEedq_9rWuV3-,"['Guilherme Boulos', 'Pablo Marçal', 'Cassação de direitos políticos', 'Candidato']"
O Globo já sabe resultado do segundo turno e mostra vitória de Lula,Aos Fatos,https://www.aosfatos.org/noticias/globo-resultado-segundo-turno/,falso,2022-10-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTM3ftHmjg4JoVd96aL62X7eW07nn0pbFKF55QFC5OymTptD3cr,"['O Globo', 'Luiz Inácio Lula da Silva']"
"Eleitores de Lula não precisarão voltar às urnas no 2º turno, diz Moraes",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/12/e-falso-que-eleitores-de-lula-nao-precisam-votar-no-2-turno.htm,Falso,2022-10-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT7DBsEvBO4IkBVd_H_zq2bluxPhTwFFcp6EoCQ_VLEp2KR2H9Z,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Alexandre de Moraes']"
Eleitores já votaram para segundo turno no Espírito Santo,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-eleitores-do-espirito-santo-ja-votaram-para-o-segundo-turno/,falso,2022-10-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT7i2sd5vxI6Mi0KUQjKy1sjRnV4kFOAtdQKbrxE7PYwQwf2IWI,"['Eleição', 'Espírito Santo']"
Um eleitor do Pará votou antecipadamente no segundo turno das eleições.,Aos Fatos,https://www.aosfatos.org/noticias/eleitor-nao-votou-antecipadamente-2-turno-para/,falso,2022-10-28 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyquMnB2rhpprWrlu2iS9HV1avgmesaiaKgQsZsjuqqN1zFG7i,"['Eleição', 'Eleitor']"
Walter Braga Netto afirma que vai haver intervenção militar no segundo turno das eleições de 2022,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/11/voz-em-audio-sobre-intervencao-militar-no-2-turno-nao-e-de-braga-netto.htm,Falso,2022-10-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTIi-AX6H6nMs_uUB_3RHWEB4qQVi-IGzL1FLsQgiAzL1ZXMXvQ,"['Braga Netto', 'Intervenção militar constitucional', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
Pablo Marçal declarou apoio e voto em Guilherme Boulos,Aos Fatos,https://www.aosfatos.org/noticias/falso-marcal-declarou-apoio-a-boulos/,falso,2024-10-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRcpkPL3-WBLRB4UH5crMy7OF8eHPzXYCXkrQyUDZh0DrnAqL5O,"['Guilherme Boulos', 'Pablo Marçal', 'Votação']"
Michelle Bolsonaro diz em áudio que Deus falou com ela,Aos Fatos,https://www.aosfatos.org/noticias/audio-sobre-revelacao-divina-e-guerra-no-segundo-turno-nao-e-de-michelle-bolsonaro/,falso,2022-10-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT2u3QxoGIwM_k5bvxZJwedVbC-G1P-PHEFPvbs1WZd6K-ALtbj,"['Michelle Bolsonaro', 'Deus']"
