Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
STF suspende todas as prisões de Bolsonaro e ele está elegível novamente,Estadão,https://www.estadao.com.br/estadao-verifica/falso-stf-suspendeu-prisao-bolsonaro-elegivel/,Falso,2025-07-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSMCrjFqOE4p8K9ZdCAw46WcHFEfaBY_9yVihZw9P3632tR_1xr,"['Jair Bolsonaro', 'Supremo Tribunal Federal', 'Prisão']"
"TSE rejeitou processo de inelegibilidade de Bolsonaro, que poderá concorrer às eleições de 2026",Aos Fatos,https://www.aosfatos.org/noticias/falso-tse-bolsonaro-elegivel-2026/,falso,2024-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRGvXVlGHJdT9h1hWh2P2UTRqTzf7jwwglqTOm1uDj1f5OKLoeX,"['Jair Bolsonaro', 'Tribunal Superior Eleitoral', 'Inelegibilidade', 'Eleição', 'Inelegibilidade de Jair Bolsonaro', 'Processo judicial', '2026']"
Agora é oficial: Bolsonaro será candidato para a Presidência em 2026,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-candidato-presidente-2026-falso/,Falso,2024-12-16 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSxv30wSCg6agISEx14rksG5iAymJLyMOHuoigEmbh9ADnViL2F,"['Jair Bolsonaro', 'Presidente do Brasil', 'Candidato', 'Oficial']"
Bolsonaro é inocentado pelo TSE,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/bolsonaro-segue-inelegivel-ate-2030-diferentemente-do-que-alega-video-viral/,Enganoso: Vídeos de 2023 de ex-ministro do TSE circulam sem contexto e como se fossem atuais em meio às denúncias da PGR contra Bolsonaro por tentativa de golpe de Estado.,2025-03-10 07:00:00,,"['Jair Bolsonaro', 'Tribunal Superior Eleitoral']"
Bolsonaro diz que se recusa estar inelegível e anuncia candidatura para Presidência em 2026,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-anuncia-candidatura-2026-falso/,Falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYMH4NcKeSff_9XRQU2o6BUF_0n5njkbG5MUz_C-vsGRqrUUTY,"['Jair Bolsonaro', 'Presidente do Brasil', 'Candidato', '2026']"
O Tribunal Eleitoral rejeitou o processo de inelegibilidade de Bolsonaro e ele voltará em 2026.,Estadão,https://www.estadao.com.br/estadao-verifica/trecho-de-julgamento-de-bolsonaro-circula-sem-contexto-acao-nao-impacta-inelegibilidade/,Falso,2024-09-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQVV0WXOWNfazBDgumicRIpa3YXMAU574IeIPx0YkdD8ptK3p2c,"['Jair Bolsonaro', 'Inelegibilidade', 'Tribunal Superior Eleitoral', 'Eleição', 'Inelegibilidade de Jair Bolsonaro', 'Tribunal', 'Processo judicial', '2026']"
"Em 2022, o TSE proibiu diminuir o preço dos combustiveis",AFP Checamos,https://checamos.afp.com/doc.afp.com.A3WV3T4,Falso,2026-03-19 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQtmiETqEmiSYB4uAJ957JNWge3JkJaYX5pTh_UhT1GRDPXMNCF,"['Tribunal Superior Eleitoral', 'Combustível', 'Preço', '2022']"
Efeito Trump coloca elegibilidade de Bolsonaro em pauta no TSE,Estadão,https://www.estadao.com.br/estadao-verifica/efeito-trump-apos-mudancas-elegibilidade-de-bolsonaro-e-pauta-falso/,Falso,2025-01-29 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTr2vjao3zyY_P6AkELSh3S-sgDnZ-hm4guTF4Lc9Icqes4nYPy,"['Jair Bolsonaro', 'Donald Trump', 'Tribunal Superior Eleitoral']"
Bolsonaro foi aplaudido na chegada ao próprio julgamento,Estadão,https://www.estadao.com.br/estadao-verifica/video-bolsonaro-aplaudido-julgamento-stf-falso/,Falso,2025-05-26 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTtOdYmTUyy1kRl8b--8qOwTaABS2e3U9xsTayV6FmNARhisJ3x,"['Jair Bolsonaro', 'Sentença']"
"O que que o Lula fez no final do ano passado? Teve aqui reunião do G20, [ele] assinou 37 memorandos e acordos com a China. Entre esses acordos, entregou o nosso urânio para a China.",Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Luiz Inácio Lula da Silva', 'Urânio', 'G20', 'Reunião', 'Memorando', '19.ª reunião de cúpula do G20', 'China']"
