Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,2025-03-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRL6dWo2X-Lk0houLLDXWQAvWSkSJUODpxb6ihgLnhRyjx2zC6j,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Eleição', 'Fraude']"
TSE vai destruir 195 mil urnas para esconder provas de fraude,Aos Fatos,https://www.aosfatos.org/noticias/tse-destruir-urnas-provas-fraude/,falso,2025-02-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2F_GgSDikyArnN_17ob9sdGUT-EdzmZDi-H97NUKzwkRx5ZhF,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Fraude', 'Prova']"
TSE descarta 195 mil urnas após denúncia de golpe por Mike Benz,Estadão,https://www.estadao.com.br/estadao-verifica/tse-descarta-195-mil-urnas-apos-denuncias-mike-benz/,Enganoso,2025-02-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHlldEusu9hOwSe3ANS1gVAjDNDc6eriEBdxSGht4BOyQTjACC,"['Tribunal Superior Eleitoral', 'Urna eleitoral']"
Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsQZK51XiX5p6nheDlDgjzfdadpgc1bwRJwmXKSrYEIUc3PTY5,"['Luís Roberto Barroso', 'Taiwan', 'Votação', 'Circuito integrado', 'Luiz Inácio Lula da Silva', '2022', 'Estados Unidos']"
TSE abre código-fonte das urnas eletrônicas após resultado de eleição nos conselhos tutelares,Estadão,https://www.estadao.com.br/estadao-verifica/tse-abre-codigo-fonte-eleicao-conselhos-tutelares/,Enganoso,2023-10-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTK2pV0_VjqMDD9GHtPWGg8orLO3_sHKA1SJjsjg5sf8wQ5pnKS,"['Tribunal Superior Eleitoral', 'Eleição', 'Código-fonte', 'Urna eletrônica', 'Urna eleitoral', 'Resultado', 'Eletrônica']"
"Hackers quebraram o código-fonte e descobriram que Jair Bolsonaro venceu as eleições com 73,5% dos votos",Estadão,https://www.estadao.com.br/estadao-verifica/nao-hackers-nao-quebraram-codigo-fonte-das-urnas-nem-revelaram-vitoria-de-bolsonaro/,Falso,2023-09-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFk-9m5EM1sYrd41CDHU-2wK4LUEMVR8IcattlZ1-p8Un5OGsE,"['Jair Bolsonaro', 'Código-fonte', 'Eleição', 'Votação', 'Hacker']"
Não é possível auditar urnas eletrônicas,Estadão,https://www.estadao.com.br/estadao-verifica/video-com-afirmacao-falsa-de-que-nao-e-possivel-identificar-urnas-durante-auditoria-volta-a-circular/,Falso,2023-03-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRCf6lSKeHyiKFsx1kh5Rp8JG_94ySqbaSKlEP3N3MyD-2zhzqA,"['Urna eletrônica', 'Auditoria']"
Demonstração mostra fraudes em urnas,AFP Checamos,https://checamos.afp.com/doc.afp.com.36KD4EP,Enganoso,2024-10-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSVVBT54oF_QXGaqPD9Hx764uGn9qACIoLb2GFasDpn-kQfuir_,"['Urna eleitoral', 'Fraude']"
"Nos EUA, na conferência Defcon, comprovaram a existência de falhas de segurança nas urnas eletrônicas",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-urnas-eletronicas-do-tse-podem-ser-invadidas-pela-internet/,distorcido,2021-07-23 07:00:00,,"['Urna eletrônica', 'Estados Unidos', 'Existência']"
Urnas eletrônicas são conectadas à internet no momento da totalização dos votos,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-urnas-eletronicas-do-tse-podem-ser-invadidas-pela-internet/,falso,2021-07-23 07:00:00,,"['Urna eletrônica', 'Votação', 'Internet']"
"O ataque hacker ao TSE em 2020 vazou nome, CPF, foto, RG e dados biométricos",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-urnas-eletronicas-do-tse-podem-ser-invadidas-pela-internet/,falso,2021-07-23 07:00:00,,"['Tribunal Superior Eleitoral', 'Hacker', 'Vazamento', 'Carteira de Identidade Nacional', 'Cadastro de Pessoas Físicas', '2020', 'Dados', 'Biometria', 'Fotografia']"
"Eleitor perderá voto caso aperte a tecla “confirma” da urna eletrônica enquanto o equipamento exibir o aviso ""Confira seu voto""",Estadão,https://www.estadao.com.br/estadao-verifica/confira-seu-voto-confirma-anula-falso/,Falso,2024-10-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRiJwYFW_9JgDjycfII_hPAW4BWDVF7LHjVtfI6ksjDhh9dIw59,"['Votação', 'Urna eleitoral', 'Eleitor', 'Máquina de votação', 'Eletrônica']"
Não é possível recontagem de votos e a população não pode auditar as eleições,Aos Fatos,https://www.aosfatos.org/noticias/falso-eleicoes-brasil-nao-sao-auditaveis-nem-permitem-recontagem/,falso,2024-10-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6jL2sM71tbVhdlgGkOimrojJRFam8bDe__IYH3S-17jbO_p38,"['Eleição', 'Votação']"
Urna eletrônica não permite recontagem de votos,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2020/10/07/urna-eletronica-permite-recontagem-de-votos-no-brasil.htm,Falso,2020-10-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQqKRI1K71Ykuh4dNNd8ozjeQ2_SR7F8VXi1wvvt-li2NxVBche,"['Urna eleitoral', 'Votação', 'Máquina de votação', 'Eletrônica']"
Vídeo de jornalista independente afirma que software usado nos EUA e Brasil durante as eleições é passível de fraude,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/software-usado-em-urnas-eletronicas-brasileiras-nao-e-o-mesmo-que-dos-eua/,"FALSO: O software usado nas urnas eletrônicas do Brasil foi integralmente desenvolvido e é mantido pela equipe técnica do TSE e não foi cedido para uso nas eleições presidenciais dos Estados Unidos, ao contrário do que afirma jornalista em vídeo publicado no YouTube",2020-11-23 08:00:00,,"['Eleição', 'Software', 'Estados Unidos', 'Brasil', 'Fraude', 'Político sem partido', 'Jornalismo', 'Vídeo']"
Urnas brasileiras não mudaram,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/08/26/eleicoes-terao-seis-modelos-de-urna-eletronica-conheca-cada-um.htm,Falso,2022-08-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8F0ZEvT9OWZKI_YTOd2jBQK6eNNDbp88n2eheTZzau26_qqP1,"['Urna eletrônica', 'Urna eleitoral', 'Brasil']"
TSE descarta 200 mil urnas para apagar rastro da fraude e enterrar qualquer chance de auditoria,AFP Checamos,https://checamos.afp.com/doc.afp.com.372U92K,Falso,2025-03-18 07:00:00,,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Auditoria', 'Fraude']"
