Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula perdeu todas as eleições com votação manual e nunca perdeu eleição com urna eletrônica,AFP Checamos,https://checamos.afp.com/doc.afp.com.88868T3,Enganoso,2025-12-15 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPx91vlwuNv1FS1LQFgYoKlst6XbPJyqt1S6uQUczFCfzGI_0s,"['Luiz Inácio Lula da Silva', 'Eleição', 'Votação', 'Urna eleitoral', 'Máquina de votação', 'Eletrônica']"
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5e01nS8_OJfem_RbqwCjJv7y3lPetCtiTa6iWoWPz3OyEiZ8,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Urna eletrônica', 'Cédula eleitoral', 'Papel']"
No congresso americano todas as urnas foram hackeadas em menos de duas horas,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/11/10/urnas-eletronicas-brasileiras-nao-foram-fraudadas-em-evento-em-las-vegas.htm,Falso,2025-11-10 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLhxlS0ljFsvcwJhelnjb3GH3HYXQiI78SoRwpJQoyFNqhDwLz,"['Urna eleitoral', 'Congresso']"
No congresso americano todas as urnas foram hackeadas em menos de duas horas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/urnas-eletronicas-brasileiras-nao-foram-fraudadas-em-evento-em-las-vegas/,Falso,2025-11-07 08:00:00,,"['Urna eleitoral', 'Congresso']"
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Eleição', 'Votação', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Fraude eleitoral', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsQZK51XiX5p6nheDlDgjzfdadpgc1bwRJwmXKSrYEIUc3PTY5,"['Luís Roberto Barroso', 'Taiwan', 'Votação', 'Circuito integrado', 'Luiz Inácio Lula da Silva', '2022', 'Estados Unidos']"
Fraude comprovada nas urnas em 2022,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/06/12/documentos-de-agencia-dos-eua-nao-provam-fraude-nas-urnas-no-brasil.htm,Falso,2025-06-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSYjdlllqKNhigiiB2iXC2Bn0uPyM6evRGurZsxef82eV7HAbpK,"['Fraude', 'Urna eleitoral', '2022']"
Projeto em discussão no Senado prevê sete anos de reclusão para quem duvidar do sistema eleitoral.,Estadão,https://www.estadao.com.br/estadao-verifica/quem-duvidar-das-urnas-7-anos-de-prisao-enganoso/,Enganoso,2025-06-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT08coUN0dMUjm4Gqhmbf-eGskOeDMNAVusOY8P0KIsxs_fucxo,"['Sistema eleitoral do Brasil', 'Eleição', 'Senado Federal do Brasil', 'Projeto', 'Reclusão', 'discussão']"
TSE descarta 200 mil urnas para apagar rastro da fraude e enterrar qualquer chance de auditoria,AFP Checamos,https://checamos.afp.com/doc.afp.com.372U92K,Falso,2025-03-18 07:00:00,,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Auditoria', 'Fraude']"
Elon Musk publicou um vídeo da trama do golpe das urnas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/volta-a-circular-mentira-sobre-urnas-terem-sido-fraudadas-por-moraes-em-2022/,Falso: Não há qualquer evidência de que as eleições de 2022 tenham sido fraudadas. Vídeo viral volta a circular com uma falsa troca de mensagens entre o ministro Alexandre de Moraes e um engenheiro da Oracle.,2025-03-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt-JSGaFYa1JrqffNyjzS8iKuDm7aq4wHMFHknS87lJAoBCwaM,"['Urna eleitoral', 'Elon Musk', 'Vídeo']"
TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,2025-03-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRL6dWo2X-Lk0houLLDXWQAvWSkSJUODpxb6ihgLnhRyjx2zC6j,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Eleição', 'Fraude']"
Donald Trump elogiou urnas eletrônicas brasileiras,Aos Fatos,https://www.aosfatos.org/noticias/trump-elogiou-identificacao-biometrica-nao-urna-eletronica-brasileira/,não_é_bem_assim,2025-03-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT30Dk3M-lZmudeRpE542OHZBsSaswPhpgSmFyqLbAJ_lSVomvB,"['Urna eletrônica', 'Donald Trump', 'Brasil']"
TSE descarta 195 mil urnas após denúncia de golpe por Mike Benz,Estadão,https://www.estadao.com.br/estadao-verifica/tse-descarta-195-mil-urnas-apos-denuncias-mike-benz/,Enganoso,2025-02-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHlldEusu9hOwSe3ANS1gVAjDNDc6eriEBdxSGht4BOyQTjACC,"['Tribunal Superior Eleitoral', 'Urna eleitoral']"
Descarte de 195 mil urnas eletrônicas é queima de arquivo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/02/28/posts-distorcem-sobre-descarte-de-195-mil-urnas-pelo-tse.htm,Distorcido,2025-02-28 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPWiZClvJNFrUlFJ63dxkELuac4O-wvQh5H48UwsB4PPRT1pOF,"['Urna eleitoral', 'Urna eletrônica', 'Arquivo']"
TSE vai destruir 195 mil urnas para esconder provas de fraude,Aos Fatos,https://www.aosfatos.org/noticias/tse-destruir-urnas-provas-fraude/,falso,2025-02-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2F_GgSDikyArnN_17ob9sdGUT-EdzmZDi-H97NUKzwkRx5ZhF,"['Tribunal Superior Eleitoral', 'Urna eleitoral', 'Fraude', 'Prova']"
Smartmatic foi responsável por urnas eletrônicas de 2022 e contagem de votos,AFP Checamos,https://checamos.afp.com/doc.afp.com.36YQ723,Enganoso,2025-02-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-tHAOZ4FR9UISvLKsa785WCrI20WHF7_dNUPmHjI4eGTCSCo3,"['Smartmatic', 'Urna eleitoral', 'Urna eletrônica', 'Votação', '2022']"
Musk expõe conversa entre Alexandre de Moraes e engenheiro da Oracle responsável por fraudar algoritmo,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/03/14/volta-a-circular-mentira-sobre-urnas-fraudadas-por-moraes-em-2022.htm,Falso,2025-03-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQqo5qcFvb6G_tf_5a2G-d3sCvH3ntHdxYssCvyOEYRJdz4zdiK,"['Alexandre de Moraes', 'Elon Musk', 'Fraude', 'Oracle Corporation', 'Algoritmo', 'Engenheiro']"
"Fraude eleitoral: USAID pagou US$ 500 mil à empresa Smartmatic, que forneceu urnas eletrônicas ao Brasil em 2022",Estadão,https://www.estadao.com.br/estadao-verifica/usaid-500-mil-smartmatic-urnas-eleicoes-2022-falso/,Falso,2025-02-13 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQeDGVlHHrRGFtpAeDHKMaBl5BvsdvZAS5-zToLzZvemXgqsXtM,"['Smartmatic', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Eleição', 'Brasil', 'Fraude eleitoral']"
BOLSONARO TINHA RAZÃO. A fabricante de urnas eletrônicas dos Estados Unidos anunciou que mudou de opinião sobre a segurança eleitoral. Agora a empresa pede que o governo torne obrigatório que todas as máquinas emitam comprovante de voto em papel.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/11/22/post-distorce-reportagem-sobre-urnas-dos-eua-sistema-do-brasil-e-diferente.htm,Distorcido,2024-11-22 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOBiYC-1HtWIuhoTBgYIUJ9dMAdncDv_QPV_cdHADHKaxJQpv4,"['Urna eleitoral', 'Votação', 'Eleição', 'Estados Unidos', 'Segurança eleitoral', 'Opinião', 'Jair Bolsonaro', 'Máquina', 'Papel']"
