Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula morreu e foi substituído por um sósia,Estadão,https://www.estadao.com.br/estadao-verifica/lula-mudanca-drastica-rosto-falso/,Falso,2025-06-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRoCi-pRNcGxwPwycTMuvwvd2cYBkWMQMmgHqC2rr9En5bd-45p,"['Luiz Inácio Lula da Silva', 'Sósia', 'Morte']"
Presidente Lula morreu e foi substituído por sósia,Estadão,https://www.estadao.com.br/estadao-verifica/lula-sosia-teoria-da-conspiracao/,Falso,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQozi7TDi5DMLstx6M-21dmP6VoY07g2Xwq1NUEH4xRXw59VeaO,"['Luiz Inácio Lula da Silva', 'Sósia', 'Presidente', 'Morte']"
"Em áudio, médico diz que quadro de Lula é gravíssimo",Estadão,https://www.estadao.com.br/estadao-verifica/audio-lula-gravissimo-falso/,Falso,2024-12-13 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTa29oVeNCtkaRCpj5QsBrlb0HR1hZ6CgvLW0dgXMeb3VzuFZUN,"['Luiz Inácio Lula da Silva', 'Medicina']"
Lula musculoso aos 80 anos,Estadão,https://www.estadao.com.br/estadao-verifica/lula-musculoso-praia-foto-manipulada/,Enganoso,2026-01-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRJ49P7WuKsQwH1bNudAqWJwxQMV36IC3Z4OglQUHxE1k3Gw1Si,"['Luiz Inácio Lula da Silva', 'Década de 1980']"
Lula foi substitúído por sósia em homenagem no Carnaval do Rio,Estadão,https://www.estadao.com.br/estadao-verifica/foto-lula-carnaval-rio-cinco-dedos-falso/,Falso,2026-02-27 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQkgwKJW7q6u7xf51tq5U0buYoiz5UywQ3ZDj3c9t4ypP9mZt48,"['Luiz Inácio Lula da Silva', 'Sósia', 'Carnaval do Rio de Janeiro', 'Carnaval', 'Homenagem', 'Rio de Janeiro']"
Nicolás Maduro disse em pronunciamento na TV que Lula morreu e que o empresário Armínio Fraga o substituiu por um sósia,Estadão,https://www.estadao.com.br/estadao-verifica/maduro-lula-morreu-sosia-agente-da-cia-falso/,Falso,2024-10-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS17Pqad4DRTD0IY3FUi22hCM3YmSnO36s9QRGnEPJbrhOAeEge,"['Luiz Inácio Lula da Silva', 'Nicolás Maduro', 'Morte', 'Empresário', 'Armínio Fraga', 'Sósia', 'Televisão', 'Pronunciamento']"
Lula morreu e foi substituído por sósia,Estadão,https://www.estadao.com.br/estadao-verifica/lula-sosia-japao-vietna-video-espelhado/,Falso,2025-04-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgU0hceO3OSGQ9xQCQO8qhgCbvVCbm0YVH-1ePgZHHya0yBqqF,"['Luiz Inácio Lula da Silva', 'Sósia', 'Morte']"
Vídeo prova que Lula está morto e foi substituído por um sósia,Aos Fatos,https://www.aosfatos.org/noticias/video-nao-prova-lula-morreu-substituido-sosia/,falso,2024-11-26 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSA6oDDe2QKZkPSvjP5rjW0S2QTDIQ8LDwoZKF6vxSGrJu5xO8N,"['Luiz Inácio Lula da Silva', 'Sósia', 'Vídeo', 'Morte']"
Lula foi substituído por sósias,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/teorias-de-conspiracao-sobre-sosia-de-lula-voltam-a-circular-nas-redes-sociais/,Falso: Publicações usam informações falsas ou tiradas de contexto para afirmar que Lula teria morrido após procedimento médico realizado em 2022.,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTe1DmrNe9MdWfNX5qTvYrTjRJZvs2PO1LBTKefzGtdWjiaIdg6,"['Luiz Inácio Lula da Silva', 'Sósia']"
Diploma de Lula tem erros de português e universidade nega emissão do documento,Aos Fatos,https://www.aosfatos.org/noticias/posts-distorcem-homenagem-lula-falsificou-diploma/,não_é_bem_assim,2025-04-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKscWyKFNB2GR3Mzh5dfc-z-wfvvFde72WHfGR9QgKfNYTrdjI,"['Luiz Inácio Lula da Silva', 'Diploma', 'Universidade', 'Documento', 'Português']"
Declaração de Barroso sobre papel político do STF configura crime de responsabilidade,Nexo Jornal,https://www.nexojornal.com.br/expresso/2024/11/02/3-boatos-verificados-esta-semana-para-voce-ficar-de-olho-13,Enganoso: Declaração do ministro Luís Roberto Barroso em evento de 2023 não é político-partidária e reflete apenas sua opinião sobre o poder Judiciário - o que não dá possibilidade a impeachment.,2024-11-02 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJzA8qQpk4SjDHJYCNL77xSH6_BluazVyj7P9PzgxR2QZ8cNO0,"['Político', 'Luís Roberto Barroso', 'Supremo Tribunal Federal', 'Crime de responsabilidade', 'Papel', 'Crime']"
