Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Decisão do TSE de manter direito de voto a presos na eleição de 2026 é golpe,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/06/video-engana-decisao-tse-presos-provisorios.ghtm,Distorcido,2026-05-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqs18rtAPiiGFjj1_gE8gx9P_201g1v4-lsqHKPr67C40Zutal,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', '2026', 'Direito']"
Jorge Messias chorou após votação no Senado que o rejeitou para o STF,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/04/e-ia-imagem-de-messias-chorando-apos-ser-rejeitado-para-o-stf.ghtm,Falso,2026-05-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQvGyk-pn6wOH94GoygDs-xuzSs_pAr8BVpGrNdNV9nAw6aI-k9,"['Jorge Messias', 'Supremo Tribunal Federal', 'Senado Federal do Brasil', 'Votação']"
Uma tentativa de golpe está em andamento porque o TSE adiou para as eleições seguintes a proibição de voto entre presos provisórios.,Estadão,https://www.estadao.com.br/estadao-verifica/video-omite-decisao-tse-voto-presos-provisorios-principio-constitucional/,Enganoso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRuCaOK8ilIQ2aDzso0JZbhfEhjNvP85pPl4E17eu7IMb4ZU0TS,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Tentativa de golpe de Estado no Brasil em 2022–2023']"
Haddad ganhará no primeiro turno em SP segundo a pesquisa AtlasIntel,AFP Checamos,https://checamos.afp.com/doc.afp.com.A83P9ZQ,Enganoso,2026-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7zd6N0Y8zAZaa4LPN9shvavdsW0jPd1j1e0ktLwwwNS2pKW2B,"['Fernando Haddad', 'São Paulo', 'AtlasIntel', 'Pesquisa']"
"""Maçonaria apela ao voto em António José Seguro""",Observador,https://observador.pt/factchecks/fact-check-noticia-sobre-apoio-da-maconaria-a-antonio-jose-seguro-e-verdadeira/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['António José Seguro', 'Maçonaria', 'Votação']"
"Caras de Passos, Ronaldo, Herman, Lili Caneças e Jorge Jesus com o slogan: ""Eu voto Ventura""",Observador,https://observador.pt/factchecks/fact-check-passos-ronaldo-herman-jose-e-lili-canecas-anunciaram-voto-em-andre-ventura/,Errado,2026-01-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['André Ventura', 'Votação', 'Herman José', 'Lili Caneças', 'Caras', 'Jorge Jesus', 'Cristiano Ronaldo', 'Slogan']"
Mulher que mora nos EUA descobriu registro de voto nas eleições de 2022 no Brasil,Estadão,https://www.estadao.com.br/estadao-verifica/mulher-que-mora-nos-eua-tem-registro-de-voto-em-2022-enganoso/,Enganoso,2026-01-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRGEBg2exVNS_Fu-E0xdXJWFsG4DecClLCA6lBA5-JS0GRk8QlV,"['Votação', 'Eleição', 'Estados Unidos', 'Eleições presidenciais brasileiras, 2022', '2022', 'Brasil', 'Eleições gerais brasileiras, 2022']"
"Eleitora diz que votaram em seu lugar nas eleições de 2022, quando estava fora do país.",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-tse-contabilizou-voto-eleitora-ausente-2022/,falso,2026-01-16 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQioBcwD_3vB-l3eQK_KR5uOUWMfqS02YqWfMpwi-p3pFruXL7a,"['Eleitor', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5e01nS8_OJfem_RbqwCjJv7y3lPetCtiTa6iWoWPz3OyEiZ8,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Cédula eleitoral', 'Papel', 'Urna eletrônica']"
"Fux: Sou de confiança do Moro, minha filha é desembargadora indicada por Bolsonaro, meu filho é advogado do Flavio rachadinha, mas meu voto foi totalmente imparcial, ainda que seja o único contrário",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/09/26/filhos-de-fux-nao-foram-indicados-ou-advogam-para-familia-bolsonaro.htm,Distorcido,2025-09-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVqmuxBu7hJA-c2BKbBkEZUD1BRQqN8i5sSct3GRNgGnd8BiS7,"['Luiz Fux', 'Jair Bolsonaro', 'Flávio Bolsonaro', 'Sergio Moro', 'Filho', 'Advogado', 'Desvio de salário de assessor', 'Desembargador', 'Votação', 'Imparcialidade']"
Voto de Fux remete processo de Bolsonaro para a primeira instância,Aos Fatos,https://www.aosfatos.org/noticias/voto-de-fux-nao-remeteu-processo-de-bolsonaro-a-primeira-instancia/,falso,2025-09-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTmMvzTnXZGPhP_GRSeQxuvu9I-JWEt3iDE4WrCNhKgM0x5Reo9,"['Jair Bolsonaro', 'Luiz Fux', 'Primeira instância', 'Processo judicial', 'Votação']"
Bolsonaristas incendiaram banheiros químicos em Brasília durante voto de Moraes,Aos Fatos,https://www.aosfatos.org/noticias/falso-bolsonaristas-atearam-fogo-banheiros-quimicos-proximos-stf/,falso,2025-09-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIn4-RCfnakvmzLVZsbnTBk8W725KOQdsvNcXzJJeRNlUcCDaI,"['Bolsonarismo', 'Alexandre de Moraes', 'Instalações sanitárias', 'Brasília', 'Votação', 'Química']"
Ministra Cármen Lúcia proferiu voto a favor de Bolsonaro em julgamento,Aos Fatos,https://www.aosfatos.org/noticias/video-nao-mostra-voto-de-carmen-lucia-que-beneficia-bolsonaro/,falso,2025-09-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSh_4fml1SvZ4d0Y6DbbhRthnoxkonrbMJZt3merFHwY1jz9FuJ,"['Cármen Lúcia Antunes Rocha', 'Jair Bolsonaro', 'Votação', 'Ministro', 'Sentença']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
Fux detona Moraes,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/09/12/fux-nao-disse-que-colegas-perseguem-bolsonaro-durante-voto-no-julgamento.htm,Falso,2025-09-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQFggQ10Mof3W-nwgwLdN_P_QKg7MLnsWdzYg6OlYQMRC68aJ0W,"['Luiz Fux', 'Alexandre de Moraes']"
Barroso pagou 9 milhões para cada líder e vice-líder partidário para que trocassem os deputados que votariam a favor do voto impresso por políticos que eram contrários.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/08/13/e-falso-que-barroso-pagou-para-deputados-votarem-contra-voto-impresso.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSi0rEHu1PM_OFpTboM0KZsRGLtK0NX8hdofj81tJpeoHacqHft,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Deputado', 'Político', 'Liderança', 'Líder de partido']"
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Fraude eleitoral', 'Votação', 'Eleição', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
Nikolas Ferreira votou contra vetos de Lula e a favor de aumento na conta de luz.,Aos Fatos,https://www.aosfatos.org/noticias/nikolas-ferreira-nao-votou-para-derrubar-veto-de-lula-e-deixar-luz-mais-cara/,falso,2025-06-23 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRZ5-BK9n3SL3tMlqDXXpznxdAN5Ln7JcEJlAbmm2726t_95PDO,"['Nikolas Ferreira', 'Veto', 'Luiz Inácio Lula da Silva']"
Dinamarca proíbe voto de quem recebe benefícios sociais,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/cidadaos-que-recebem-beneficios-sociais-tem-direito-a-voto-na-dinamarca-diferentemente-do-que-alega-post/,"Enganoso: Post viral que afirma o contrário se baseia em legislação antiga do país europeu, conhecida como “Ajuda aos Pobres”. O dispositivo foi anulado em 1961.",2025-04-24 07:00:00,,"['Dinamarca', 'Votação']"
"A Smartmatic, empresa acusada de fraude eleitoral que atuou nas eleições brasileiras de 2022, responsável pelas urnas eletrônicas e pela contagem dos votos, recebeu financiamento da USAID",Aos Fatos,https://www.aosfatos.org/noticias/falso-smartmatic-eleicoes-2022-brasil-dinheiro-usaid/,falso,2025-02-07 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhtSvgWq0KD0lDra9iVuozCaPAq8VapOqQbtmxQqhg_RsZNf5D,"['Smartmatic', 'Eleição', 'Agência dos Estados Unidos para o Desenvolvimento Internacional', 'Fraude eleitoral', 'Votação']"
Urnas no Arkansas não permitem voto em Trump,Aos Fatos,https://www.aosfatos.org/noticias/falso-urnas-arkansas-impediram-voto-trump/,falso,2024-11-06 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsEhlv-lUi6hRG0OYfxU9wlhtfzqOwNIle-wIO7bCoFH44R_0j,"['Donald Trump', 'Votação', 'Urna eleitoral']"
Vídeo mostra fraude eleitoral nos EUA na qual voto de Trump é transferido para Kamala,Aos Fatos,https://www.aosfatos.org/noticias/falso-voto-para-trump-foi-computado-kamala/,falso,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR6VKOUnorZ_7xJhQPIo696jexmwgbUiQiLtpTVkseiAyatYczp,"['Kamala Harris', 'Votação', 'Donald Trump', 'Eleição', 'Estados Unidos', 'Fraude eleitoral', 'Vídeo', 'Fraude']"
"O momento exato que, em apenas uma atualização, o Boulos sobe 2% na apuração dos votos, este comportamento parece suspeito e deve ser apurado",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/10/11/e-falso-que-boulos-subiu-2-em-apenas-uma-atualizacao-da-apuracao.htm,Falso,2024-10-11 07:00:00,,"['Guilherme Boulos', 'Votação', 'Suspeito', 'Comportamento']"
Mal começou as votações e Pablo Marçal foi desmascarado ele assinou o documento falsificado Foi diretamente para o xilindró lá ele vai ver o sol nascer quadrado,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/10/11/marcal-preso-primeiro-turno-laudo-falso-boulos.htm,Falso,2024-10-11 07:00:00,,"['Pablo Marçal', 'Documento', 'Falsificação', 'Votação']"
Não é possível recontagem de votos e a população não pode auditar as eleições,Aos Fatos,https://www.aosfatos.org/noticias/falso-eleicoes-brasil-nao-sao-auditaveis-nem-permitem-recontagem/,falso,2024-10-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6jL2sM71tbVhdlgGkOimrojJRFam8bDe__IYH3S-17jbO_p38,"['Eleição', 'Votação']"
Mulher não conseguiu votar para vereador no Acre porque não apareceu opção na urna,Estadão,https://www.estadao.com.br/estadao-verifica/mulher-nao-pode-votar-em-vereador-no-acre-enganoso/,Enganoso,2024-10-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQph1Gvw4huB2hvj3wm-C7juac3pFtfUq3Tbrv_AYZtPu3x0XYS,"['Votação', 'Vereador', 'Urna eleitoral', 'Acre', 'Mulher']"
Eleitor deve aguardar a mensagem “confirma seu voto” na urna eletrônica antes de finalizar a votação,Aos Fatos,https://www.aosfatos.org/noticias/falso-urnas-eletronicas-mensagem-confirma-o-seu-voto/,falso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSXlYH7fUnWollcEcX8PBhe-nKuW1uLbetwVPWZ-k40pRrA_8RR,"['Votação', 'Urna eleitoral', 'Máquina de votação', 'Eleitor', 'Mensagem', 'Eletrônica']"
