Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5e01nS8_OJfem_RbqwCjJv7y3lPetCtiTa6iWoWPz3OyEiZ8,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Cédula eleitoral', 'Papel', 'Urna eletrônica']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
Barroso pagou 9 milhões para cada líder e vice-líder partidário para que trocassem os deputados que votariam a favor do voto impresso por políticos que eram contrários.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/08/13/e-falso-que-barroso-pagou-para-deputados-votarem-contra-voto-impresso.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSi0rEHu1PM_OFpTboM0KZsRGLtK0NX8hdofj81tJpeoHacqHft,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Deputado', 'Político', 'Líder de partido', 'Liderança']"
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Fraude eleitoral', 'Votação', 'Eleição', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
Ministro Kassio Nunes Marques mudou opinião dos ministros do TSE sobre o voto impresso,Estadão,https://www.estadao.com.br/estadao-verifica/nunes-marques-mudou-opiniao-do-tse-sobre-voto-impresso-enganoso/,Enganoso,2024-12-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQtStg8pl3BfoprIMHzZWYEbqM-H8TloOA1slKL7GNHjnLA9kWa,"['Nunes Marques', 'Comprovante de votação verificado pelo eleitor', 'Tribunal Superior Eleitoral', 'Votação', 'Ministro', 'Ministro do Tribunal Superior Eleitoral do Brasil', 'Opinião']"
Lula quer o comprovante do voto impresso para confirmar a vitória do Maduro na Venezuela porque não confia nas urnas eletrônicas,AFP Checamos,https://checamos.afp.com/doc.afp.com.36H266P,Enganoso,2024-09-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdoAS80rV5zRxHUM36SA5uNJy8Z6hDQ23MB4UZmYlszY40cYl-,"['Luiz Inácio Lula da Silva', 'Venezuela', 'Urna eleitoral', 'Votação', 'Nicolás Maduro', 'Comprovante de votação verificado pelo eleitor', 'Urna eletrônica']"
Lula quer o comprovante do voto impresso para confirmar a vitória do Maduro na Venezuela porque não confia nas urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-lula-criticou-urna-eletronica-atas-eleitorais-venezuela/,falso,2024-09-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHmPrrg-c8tYK_G3UwD2_OURa9rqoIZhrB13mAwLv_Ad9DN_Zu,"['Luiz Inácio Lula da Silva', 'Venezuela', 'Urna eleitoral', 'Votação', 'Nicolás Maduro', 'Comprovante de votação verificado pelo eleitor', 'Urna eletrônica']"
Só o Brasil usa urnas eletrônicas,Estadão,https://www.estadao.com.br/estadao-verifica/apenas-brasil-urna-eletronica-falso/,Falso,2024-10-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQBq5bRLsBSbQbN7XekxSQCvE7lPwuSsrhyYOdDXcj3cD3dcwuv,"['Urna eletrônica', 'Urna eleitoral', 'Brasil']"
Aprovado o voto impresso no brasil,Estadão,https://www.estadao.com.br/estadao-verifica/eduardo-girao-comemora-voto-impresso/,Falso,2024-08-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTabUrBeVfBI2jLK33-qOTHzfxM-hJQje4QsxmRzhNR24Ehlcu5,"['Votação', 'Brasil', 'Comprovante de votação verificado pelo eleitor']"
"Países que fizeram a eleição com cédula de papel ou urnas com voto impresso, como Paraguai, Uruguai, Equador e Argentina, tiveram derrota da esquerda",Estadão,https://www.estadao.com.br/estadao-verifica/voto-impresso-direita-esquerda-falso/,Falso,2024-06-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxLQo3SVz8isn-NkR8FYANGo53aMOT3HbyfD-GypjFyqOa8f0r,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Eleição', 'Esquerda', 'Urna eleitoral', 'País', 'Argentina', 'Paraguai', 'Papel']"
