Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"[Eu tinha] um partido pequeno, sete segundos de televisão, sem fundo partidário",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
"Agora, levando-se em conta o mundo todo, o Brasil é um país que menos sofreu com a pandemia.",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,não_é_bem_assim,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,"['Pandemia de COVID-19', 'Mundo', 'Brasil']"
Eu tinha uma cópia do Diário do Congresso. Tá comigo até hoje. O resto foi incinerado ou pintado de negrito,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
Quem tornou vaga a cadeira do João Goulart foi o Congresso Nacional,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,não_é_bem_assim,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,"['Congresso Nacional', 'João Goulart', 'Cadeira']"
"Você pode ver, no campo: nós aprovamos a posse estendida.",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,verdadeiro,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
A [Simone] Tebet falou de voto impresso no passado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,verdadeiro,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
O Tarcísio tem um orçamento de aproximadamente R$ 7 bilhões por ano.,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,não_é_bem_assim,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,"['R7', 'Tarcísio de Freitas', 'Orçamento']"
"A apuração tem que ser pública. Se é numa sala-cofre [a apuração das eleições], não é pública",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
Tiraram de mim o poder de conduzir essas medidas [de isolamento] na pandemia,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
Passamos de déficit para superávit [nas empresas estatais].,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
"Eu dou o inquérito da PF de 2018 para quem quiser. Para quem quiser. Apesar de o STF falar que ele é confidencial, não é confidencial.",Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
Fui o primeiro presidente a pegar a lei de teto [de gastos],Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
