Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
O Tribunal Superior Eleitoral (TSE) publicou um vídeo em 2017 defendendo o voto impresso,AFP Checamos,https://checamos.afp.com/doc.afp.com.9EE7U2,Sem contexto,2021-07-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2LC86so9PEHIdXbS1_-8ix_ES7TTe7qGD81R_FbfoeHnUL36a,"['Tribunal Superior Eleitoral', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Eleição', 'Vídeo', '2017', 'Tribunal']"
Ministro Kassio Nunes Marques mudou opinião dos ministros do TSE sobre o voto impresso,Estadão,https://www.estadao.com.br/estadao-verifica/nunes-marques-mudou-opiniao-do-tse-sobre-voto-impresso-enganoso/,Enganoso,2024-12-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQtStg8pl3BfoprIMHzZWYEbqM-H8TloOA1slKL7GNHjnLA9kWa,"['Nunes Marques', 'Tribunal Superior Eleitoral', 'Votação', 'Comprovante de votação verificado pelo eleitor', 'Ministro', 'Ministro do Tribunal Superior Eleitoral do Brasil', 'Opinião']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
TSE não cumpre lei para impressão do voto sancionada por Lula,Aos Fatos,https://www.aosfatos.org/noticias/stf-derrubou-lei-lula-voto-impresso/,falso,2022-07-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTqNw3wIPL1ELlWeaggeAepe83APxH0zy9qhblSI73YP5r7kAAX,"['Luiz Inácio Lula da Silva', 'Votação', 'Tribunal Superior Eleitoral', 'Lei', 'Sanção jurídica']"
Voto impresso aprovado na CCJ recentemente.,Aos Fatos,https://www.aosfatos.org/noticias/voto-impresso-foi-aprovado-na-ccj-em-2019-nao-recentemente/,distorcido,2021-04-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQsWKprjR4VigFVT9CsEDQjSZBINQqehfDw53-Iu42opF4dhhLr,"['Comprovante de votação verificado pelo eleitor', 'Votação']"
TSE não cumpre lei para impressão de voto sancionada por Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32EC8WZ,Sem contexto,2022-07-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbzfjhMnTICZYbLsZWyO2-moDJWhzNM8ebzS0a8yncYxKbaJbq,"['Luiz Inácio Lula da Silva', 'Votação', 'Lei', 'Sanção jurídica', 'Tribunal Superior Eleitoral', 'Impressão']"
"ITA e IME, institutos militares, fizeram protótipo de urnas para voto impresso, mas foram vetados pelo TSE (Tribunal Superior Eleitoral)",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2020/10/22/ita-ime-urnas-voto-impresso-tse.htm,Falso,2020-10-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRxNlQJpC50ByOxLNYW9mbLZOIr8qBHz4-G6Wk7pH3NWDY6wz-N,"['Urna eleitoral', 'Comprovante de votação verificado pelo eleitor', 'Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Veto', 'Tribunal', 'Instituto Militar de Engenharia', 'Instituto Tecnológico de Aeronáutica', 'Protótipo']"
Urna eletrônica não permite recontagem de votos,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2020/10/07/urna-eletronica-permite-recontagem-de-votos-no-brasil.htm,Falso,2020-10-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQqKRI1K71Ykuh4dNNd8ozjeQ2_SR7F8VXi1wvvt-li2NxVBche,"['Máquina de votação', 'Votação', 'Urna eleitoral', 'Eletrônica']"
Este vídeo mostra que em 2017 o TSE era a favor do voto impresso,AFP Checamos,https://checamos.afp.com/doc.afp.com.32AA7G6,Sem contexto,2022-05-17 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtVQAIm2XeoC_Kq9CBiyiVJ2kdQW8tIhsJx94qZq-t71w7H4W6,"['Comprovante de votação verificado pelo eleitor', 'Tribunal Superior Eleitoral', 'Votação', 'Vídeo', '2017']"
Voto impresso já é lei e deveria estar sendo implantado. Lei 10408,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/posts-enganam-ao-afirmar-que-voto-impresso-ja-e-lei/,"ENGANOSO: O conteúdo verificado destaca trecho revogado da Lei 10.408, que dispõe sobre um mecanismo da urna que permite a impressão do voto.",2021-07-19 07:00:00,,"['Votação', 'Comprovante de votação verificado pelo eleitor', 'Lei']"
Barroso sempre foi a favor do voto impresso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/06/28/e-falso-que-ministro-barroso-defendeu-voto-impresso-em-2017.htm,Falso,2022-06-28 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfJurUtDLSEfuaznlwH5VFxZ8rn6Aq_UBZZP8-E2P4mzLx-2NM,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação']"
